都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,種別,住所,方書,緯度,経度,アクセス方法,駐車場情報,電話番号,内線番号,FAX番号,法人番号,団体名,認可等年月日,収容定員,受入年齢,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,一時預かりの有無,URL,備考
152188,3001400011,新潟県,五泉市,こばと保育園,コバトホイクエン,認可公立保育所,新潟県五泉市太田1丁目10－28,,,,,,0250-43-1051,,,,,,100,9か月から,月火水木金土,07:15,18:15,土曜保育は8：30～12：00（第1、3、５土曜日）,無,,
152188,3001400012,新潟県,五泉市,さくら学童クラブ,サクラガクドウクラブ,放課後児童クラブ,新潟県五泉市村松乙75の7（村松子育て支援センター併設）,,,,,,0250-58-7435,,,,,,64,小学校1年生,学校登校日,,18:30,開始時間は下校時から。　学校休業日は7:30~18:30まで開所。　日曜日、祝日、12/29~1/3はお休み,無,,
152188,3001400013,新潟県,五泉市,さくら保育園,サクラホイクエン,認可公立保育所,新潟県五泉市白山2－35,,,,,,0250-42-2366,,,,,,100,2か月から,月火水木金土,07:15,18:15,土曜保育は8：30～12：00（第1、3、５土曜日）,無,,
152188,3001400014,新潟県,五泉市,すみれこども園,スミレコドモエン,認可私立保育所,新潟県五泉市駅前2丁目6－19,,,,,,0250-42-2647,,,,,,135,2か月から,月火水木金土,07:00,18:00,,無,,
152188,3001400015,新潟県,五泉市,すもと学童クラブ,スモトガクドウクラブ,放課後児童クラブ,新潟県五泉市一本杉2341－1,,,,,,0250-43-2934,,,,,,35,小学校1年生,学校登校日,,18:30,開始時間は下校時から。　日曜日、祝日、12/29~1/3はお休み。,無,,
152188,3001400016,新潟県,五泉市,すもと保育園,スモトホイクエン,認可公立保育所,新潟県五泉市一本杉306－2,,,,,,0250-43-3530,,,,,,90,9か月から,月火水木金土,07:15,18:15,土曜保育は8：30～12：00（第1、3、５土曜日）,無,,
152188,3001400017,新潟県,五泉市,総合保育園,ソウゴウホイクエン,認可公立保育所,新潟県五泉市三本木3131,,,,,,0250-25-7544,,,,,,150,2か月から,月火水木金土,07:15,18:15,,無,,
152188,3001400018,新潟県,五泉市,第２だしっ子学童クラブ,ダイ2ダシッコガクドウクラブ,放課後児童クラブ,新潟県五泉市中川新2431（川東小学校内）,,,,,,0250-42-3786,,,,,,21,小学校1年生,学校登校日,,18:30,開始時間は下校時から。　日曜日、祝日、12/29~1/3はお休み。,無,,
152188,3001400019,新潟県,五泉市,第一幼稚園,ダイイチヨウチエン,公立幼稚園,新潟県五泉市学校町3－52,,,,,,0250-42-2601,,,,,,160,満3歳以上,月火水木金,08:40,14:40,,無,,
152188,3001400020,新潟県,五泉市,だしっこ学童クラブ,ダシッコガクドウクラブ,放課後児童クラブ,新潟県五泉市猿和田27（あさひ保育園内）,,,,,,0250-43-3068,,,,,,23,小学校1年生,学校登校日,,18:30,開始時間は下校時から。　日曜日、祝日、12/29~1/3はお休み。,無,,
152188,3001400021,新潟県,五泉市,つくし保育園,ツクシホイクエン,認可公立保育所,新潟県五泉市木越乙2863,,,,,,0250-42-2756,,,,,,120,2か月から,月火水木金土,07:15,18:15,,無,,
152188,3001400022,新潟県,五泉市,はしだ保育園,ハシダホイクエン,認可公立保育所,新潟県五泉市橋田1422－1,,,,,,0250-43-1290,,,,,,80,2か月から,月火水木金土,07:15,18:15,土曜保育は8：30～12：00（第1、3、５土曜日）,無,,
152188,3001400023,新潟県,五泉市,東っこ学童クラブ,ヒガシッコガクドウクラブ,放課後児童クラブ,新潟県五泉市赤海3714（五泉東小学校内）,,,,,,0250-42-2134,,,,,,68,小学校1年生,学校登校日,,18:30,開始時間は下校時から。　日曜日、祝日、12/29~1/3はお休み。,無,,
152188,3001400024,新潟県,五泉市,ひまわりこども園,ヒマワリコドモエン,認可私立保育所,新潟県五泉市荻曽根187－1,,,,,,0250-42-3234,,,,,,100,2か月から,月火水木金土,07:15,18:15,,無,,
152188,3001400025,新潟県,五泉市,みどりこども園,ミドリコドモエン,認可私立保育所,新潟県五泉市本田屋1002－1,,,,,,0250-41-5070,,,,,,130,2か月から,月火水木金土,07:15,18:15,,無,,
152188,3001400026,新潟県,五泉市,みどりっ子学童クラブ,ミドリッコガクドウクラブ,放課後児童クラブ,新潟県五泉市城下1丁目865（村松小学校内）,,,,,,0250-58-6106,,,,,,74,小学校1年生,学校登校日,,18:30,開始時間は下校時から。　日曜日、祝日、12/29~1/3はお休み。,無,,
152188,3001400027,新潟県,五泉市,南っ子学童クラブ,ミナミッコガクドウクラブ,放課後児童クラブ,新潟県五泉市南本町1丁目1－29,,,,,,0250-43-0370,,,,,,88,小学校1年生,学校登校日,,18:30,開始時間は下校時から。　学校休業日は7:30~18:30まで開所。　日曜日、祝日、12/29~1/3はお休み,無,,
152188,3001400028,新潟県,五泉市,村松こども園,ムラマツコドモエン,認定こども園（幼保連携型）,新潟県五泉市村松乙118－3,,,,,,0250-58-6544,,,,,,135,2か月から,月火水木金土,07:15,18:15,,有,,
152188,3001400029,新潟県,五泉市,村松さくらこども園,ムラマツサクラコドモエン,認可私立保育所,新潟県五泉市村松甲6288,,,,,,0250-58-2401,,,,,,80,2か月から,月火水木金土,07:15,18:15,,無,,
