都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,バリアフリー情報,URL,備考
152188,3001300011,新潟県,五泉市,五泉市十全体育館,ゴセンシジュウゼンタイイクカン,十全体育館,,新潟県五泉市安出156-1,,37.668389,139.180697,,,,五泉市,月火水木金土日,09:00,22:00,12/29～12/31、1/1～1/3は休館。,使用許可申請書を使用日の3日前までに総合会館又は村松体育館の窓口に提出してください。施設使用料の詳細は市HPでご確認ください。,盲導犬・介助犬・聴導犬同伴可,https://www.city.gosen.lg.jp/organization/22/2/1852.html,スポーツ推進課
152188,3001300012,新潟県,五泉市,五泉市障がい者基幹相談支援センター,ゴセンシショウガイシャキカンソウダンシエンセンター,,,新潟県五泉市南本町１‐６‐24,,,,0250-41-0653,,,五泉市,月火水木金,08:30,17:15,"祝日は利用不可
12月29日～1月3日は終日利用不可",障がい者のワンストップ相談窓口,,,健康福祉課
152188,3001300013,新潟県,五泉市,五泉市障害者地域活動支援センターⅠ型,ゴセンシショウガイシャチイキカツドウシエンセンターイチガタ,あさひの家,,新潟県五泉市旭町８‐43,,,,0250-41-1510,,6110005003964,社会福祉法人　中東福祉会,火水木金土,09:00,17:30,"祝日は利用不可
8月14日、15日及び12月29日～1月3日は終日利用不可",憩いの場の運営、相談支援など,,,健康福祉課
152188,3001300014,新潟県,五泉市,五泉市障害者地域活動支援センターⅢ型,ゴセンシショウガイシャチイキカツドウシエンセンターサンガタ,虹工房,,新潟県五泉市旭町７‐44,,,,0250-42-3905,,6110005003964,社会福祉法人　中東福祉会,月火水木金,08:30,17:00,"祝日は利用不可
8月14日～16日及び12月29日～1月3日は終日利用不可",就労支援、地域活動支援,,,健康福祉課
152188,3001300015,新潟県,五泉市,五泉市障害者地域生活支援センター　,ゴセンシショウガイシャチイキセイカツシエンセンター,こすもすの家,,新潟県五泉市石曽根7091‐２,,,,0250-58-1065,,,株式会社　まごころネット,月火水木金土,08:30,18:15,"土曜日は8：30～17：15
祝日は利用不可
12月29日～1月3日は終日利用不可",日中一時支援、放課後等デーサービス,,,健康福祉課
152188,3001300016,新潟県,五泉市,五泉市総合会館,ゴセンシソウゴウカイカン,総合会館,,新潟県五泉市旭町7-11,,37.747149,139.180616,(0250)42-5194,503・504,,五泉市,月火水木金土日,09:00,22:00,12/29～12/31、1/1～1/3は休館。,使用許可申請書を使用日の3日前までに総合会館又は村松体育館の窓口に提出してください。施設使用料の詳細は市HPでご確認ください。,優先駐車場有り;多目的トイレ有り;車椅子貸出有り;盲導犬・介助犬・聴導犬同伴可;スロープ有り;エレベーター有り,https://www.city.gosen.lg.jp/organization/22/2/1842.html,スポーツ推進課
152188,3001300017,新潟県,五泉市,五泉市福祉会館,ゴセンシフクシカカン,,,新潟県五泉市太田1092－1,,,,0250-41-1000,,1110005004430,社会福祉法人　五泉市社会福祉協議会,月火水木金土日,09:00,22:00,"12月29日～1月3日は休館
※窓口営業日、時間
　　月～金　8:30～17:30
　　祝日、12月29日～1月3日は休館",市民の相談、研修や福祉団体の活動拠点,,,健康福祉課
152188,3001300018,新潟県,五泉市,五泉市保健センター,ゴセンシホケンセンター,,,新潟県五泉市太田438-1,,,,0250-43-3911,341・342,,五泉市,月火水木金土日,08:30,17:15,,市民の健康管理、健康づくりの活動拠点,多目的トイレ有り;車椅子スロープ有り,,こども課
152188,3001300019,新潟県,五泉市,五泉市村松支所,ゴセンシムラマツシショ,,,新潟県五泉市村松乙130-1,,37.693527,139.174625,0250-58-7181,,,,,08:30,17:15,,,多目的トイレ、授乳室、エレベーター有り,,地域振興課
152188,3001300020,新潟県,五泉市,五泉市村松体育館,ゴセンシムラマツタイイクカン,村松体育館（さくらアリーナ）,,新潟県五泉市石曽根8074-1,,37.696888,139.190039,(0250)58-6373,,,五泉市,月火水木金土日,09:00,22:00,12/29～12/31、1/1～1/3は休館。,使用許可申請書を使用日の3日前までに総合会館又は村松体育館の窓口に提出してください。施設使用料の詳細は市HPでご確認ください。,優先駐車場有り;多目的トイレ有り;車椅子貸出有り;盲導犬・介助犬・聴導犬同伴可;エレベーター有り,https://www.city.gosen.lg.jp/organization/22/2/1844.html,スポーツ推進課
152188,3001300021,新潟県,五泉市,五泉市村松テニスコート,ゴセンシムラマツテニスコート,村松テニスコート,,新潟県五泉市石曽根7943-2,,37.697115,139.185755,,,,五泉市,月火水木金土日,09:00,19:00,4/1～11/30※日没後は使用不可,団体の場合、使用許可申請書を使用日の3日前までに総合会館又は村松体育館の窓口に提出してください。施設使用料の詳細は市HPでご確認ください。,盲導犬・介助犬・聴導犬同伴可,https://www.city.gosen.lg.jp/organization/22/2/1854.html,スポーツ推進課
152188,3001300022,新潟県,五泉市,五泉市村松農村環境改善センター,ゴセンシムラマツノウソンカンキョウカイゼンセンター,,1399,新潟県五泉市上木越甲423-1,,37.700402,139.206606,0250-43-3911,250・251,,五泉市,月火水木金土日,09:30,21:30,毎月第2木曜日休館,多目的ホール、温泉施設あり。,一部多目的トイレ、スロープあり。,,農林課/さくらんど温泉施設内
152188,3001300023,新潟県,五泉市,五泉市村松プール,ゴセンシムラマツプール,村松プール,,新潟県五泉市愛宕甲2712-1,,37.690381,139.190637,,,,五泉市,月火水木金土日,09:00,17:00,7/24～8/25,施設使用料の詳細は市HPでご確認ください。,盲導犬・介助犬・聴導犬同伴可,https://www.city.gosen.lg.jp/organization/22/2/1847.html,スポーツ推進課
152188,3001300024,新潟県,五泉市,五泉市村松武道館,ゴセンシムラマツブドウカン,村松武道館,,新潟県五泉市愛宕甲2631-1,,37.693706,139.189812,0250-58-8129,,,五泉市,月火水木金土日,09:00,22:00,12/29～12/31、1/1～1/3は休館。,使用許可申請書を使用日の3日前までに総合会館又は村松体育館の窓口に提出してください。施設使用料の詳細は市HPでご確認ください。,盲導犬・介助犬・聴導犬同伴可,https://www.city.gosen.lg.jp/organization/22/2/1849.html,スポーツ推進課
152188,3001300025,新潟県,五泉市,五泉市村松保健センター,ゴセンシムラマツホケンセンター,村松保健センター,,新潟県五泉市村松乙116-１,,,,0250-58-7181,,,五泉市,月火水木金土日,09:00,16:00,,市民の健康管理、健康づくりの活動拠点,多目的トイレ有り;車椅子スロープ有り,,健康福祉課
152188,3001300026,新潟県,五泉市,五泉市村松野球場,ゴセンシムラマツヤキュウジョウ,村松野球場,,新潟県五泉市愛宕甲2712-1,,37.69106,139.191549,,,,五泉市,月火水木金土日,05:00,21:30,4/1～11/30,使用許可申請書を使用日の3日前までに総合会館又は村松体育館の窓口に提出してください。施設使用料の詳細は市HPでご確認ください。,盲導犬・介助犬・聴導犬同伴可,https://www.city.gosen.lg.jp/organization/22/2/1850.html,スポーツ推進課
152188,3001300027,新潟県,五泉市,五泉市村松老人福祉センター,ゴセンシムラマツロウジンフクシセンター,かがやきの郷,,五泉市石曽根8074-1,,,,0250-58-2659,,,,月火水木金土日,08:30,17:00,火・金は19:00まで利用可、毎月第3水曜日利用不可（祝日の場合は翌日）、12/29～1/3利用不可、入浴時間10時～17時（月水木土日）、10時～19時（火金）,高齢者の交流と健康増進を行う施設で、大広間や個室、入浴施設を完備している。市内在住60歳以上200円、団体（10人以上）150円、就学年齢未満無料、それ以外400円,多目的トイレ有り；スロープ有り,,高齢福祉課
152188,3001300028,新潟県,五泉市,五泉市役所,ゴセンシヤクショ,,,新潟県五泉市太田1094番地1,,,,0250-43-3911,333,5000020152188,五泉市,月火水木金,08:30,17:15,祝日、12月29日～1月3日は終日利用不可,,多目的トイレ有り；スロープ有り；車いす貸出有り；エレベーター有り,https://www.city.gosen.lg.jp,総務課
152188,3001300029,新潟県,五泉市,五泉市陸上競技場,ゴセンシリクジョウキョウギジョウ,陸上競技場,,新潟県五泉市愛宕甲2660,,37.691926,139.190079,,,,五泉市,月火水木金土日,05:00,19:00,,使用許可申請書を使用日の3日前までに総合会館又は村松体育館の窓口に提出してください。施設使用料の詳細は市HPでご確認ください。,盲導犬・介助犬・聴導犬同伴可,https://www.city.gosen.lg.jp/organization/22/2/1853.html,スポーツ推進課
152188,3001300030,新潟県,五泉市,五泉市立図書館,ゴセンシリツトショカン,,,新潟県五泉市郷屋川1-1-8,,,,0250-43-3110,,,,火水木金土日,,,"図書館休館日：毎週月曜日、毎月最終金曜日、祝日、特別整理期間、年末年始
図書館開館時間：平日は9:30～18:30、土日は9:30～17:00

生涯学習施設休館日：12/28～1/4
生涯学習施設利用時間：9:00～22:00
※生涯学習施設は月曜日も利用可","生涯学習施設使用の対象は社会教育団体、町内会等です。
使用日の５日前までに申請が必要です。詳細はお問合せください。",多目的トイレ、スロープ、エレベーター、車いすの貸出有り,https://www.lib-gosen-unet.ocn.ne.jp,図書館
152188,3001300031,新潟県,五泉市,五泉市立村松図書館,ゴセンシリツムラマツトショカン,,,新潟県五泉市村松乙224-2,,,,0250-58-1505,,,,月火水木土日,,,"休館日：毎週金曜日、偶数月の第一火曜日、祝日、特別整理期間、年末年始
開館時間：平日は9:30～18:30、土日は9:30~17:00",,多目的トイレ、スロープ、車いすの貸出有り,https://www.lib-gosen-unet.ocn.ne.jp,村松図書館
152188,3001300032,新潟県,五泉市,五泉市老人福祉センター翠泉園,ゴセンシロウジンフクシセンタースイセンエン,翠泉園,,五泉市横町3-3-9,,,,0250-42-3414,,,,月火水木金土日,08:30,17:00,火・金は19:00まで利用可、毎月第2水曜日利用不可（祝日の場合は翌日）、12/29～1/3利用不可、入浴時間10時～17時（月水木土日）、10時～19時（火金）,高齢者の交流と健康増進を行う施設で、大広間や個室、入浴施設を完備している。市内在住60歳以上200円、団体（10人以上）150円、就学年齢未満無料、それ以外400円,多目的トイレ有り；スロープ有り,,高齢福祉課
152188,3001300033,新潟県,五泉市,さくらんど会館,サクランドカイカン,,,新潟県五泉市村松乙118-2,,,,0250-58-1133,682,,,,09:00,22:00,,,多目的トイレ有り；車いす貸出有り；エレベーター有り；スロープ有り,,生涯学習課村松事務所
152188,3001300034,新潟県,五泉市,森林公園陶芸工房,シンリンコウエントウゲイコウボウ,,,新潟県五泉市丸田199,,,,0250-42-5195,,,,日月火水木金土,,,4/1～11/30　冬期間は閉鎖,事前に団体登録が必要です。使用許可申請書を使用日の3日前までに総合会館の窓口に提出してください。施設使用料は1時間あたり100円。併せてガス窯を使用した場合はガス使用量に応じた料金がかかります。,,,生涯学習課
152188,3001300035,新潟県,五泉市,チャレンジランド杉川,チャレンジランドスギカワ,,,新潟県五泉市上杉川1910-1,,,,0250-55-6543,,,,,,,,,,,生涯学習課村松事務所
152188,3001300036,新潟県,五泉市,陶芸施設,トウゲイシセツ,,,新潟県五泉市村松甲5953,,,,,,,,,09:00,22:00,,,,,生涯学習課村松事務所
152188,3001300037,新潟県,五泉市,戸倉コミュニティ会館,トグラコミュニティカイカン,,,新潟県五泉市上戸倉1649,,,,0250-58-2939,,,,,09:00,22:00,,,多目的トイレ有り；スロープ有り,,生涯学習課村松事務所
152188,3001300038,新潟県,五泉市,西公園野球場,ニシコウエンヤキュウジョウ,,,新潟県五泉市土深60,,37.741075,139.158969,,,,五泉市,月火水木金土日,08:00,21:30,"通年（ただし、降雪期は除く）
※野球場照明使用時間は、18：30～21：30",使用許可申請書を使用日の3日前までに総合会館又は村松体育館の窓口に提出してください。施設使用料の詳細は市HPでご確認ください。,盲導犬・介助犬・聴導犬同伴可,https://www.city.gosen.lg.jp/organization/22/2/1855.html,スポーツ推進課
152188,3001300039,新潟県,五泉市,東公園,ヒガシコウエン,,1003,新潟県五泉市赤海3551-11,,37.743501,139.194885,0250-43-3911,256・257,,五泉市,月火水木金土日,00:00,00:00,通年利用可能（冬期間園路一部除雪）,ボタン園、シャクヤク園、ハス池、ひまわり・菜の花畑あり。,"一部多目的トイレ、スロープあり。
（花木祭り期間のみ車いす貸出あり。）",,農林課/花木まつり（５月上旬から５月下旬）
152188,3001300040,新潟県,五泉市,馬下保養センター,マオロシホヨウセンター,,,五泉市馬下1816,,,,0250-47-1030,,,,月火水木金土日,09:00,,毎月第４水曜日は利用不可（祝日の場合は翌日）,"温泉を活用した保養施設。宿泊や日帰り個室利用も可能。入館料大人500円、こども（12歳未満）250円、個室料金（日帰り）市内1,000円/1室、市外1,500円/1室、宿泊（食事なし・4名/1室）市内4,000円、市外6,000円",多目的トイレ有り；スロープ有り：身体の不自由な方の専用浴室有り,https://www.city.gosen.lg.jp/info/4936.html,高齢福祉課
152188,3001300041,新潟県,五泉市,まさくら水辺の里,マサクラミズベノサト,,1003,新潟県五泉市川瀬1190,,37.733781,139.191771,0250-43-3911,256・257,,五泉市,月火水木金土日,00:00,00:00,冬期間使用不可,,,,農林課
152188,3001300042,新潟県,五泉市,村松郷土資料館,ムラマツキョウドシリョウカン,,,新潟県五泉市村松乙2-1,,,,0250-58-8293,,,,日月火水金土,10:00,16:00,,,多目的トイレ有り；スロープ有り,,生涯学習課村松事務所
152188,3001300043,新潟県,五泉市,村松公民館,ムラマツコウミンカン,,,新潟県五泉市村松乙130-1,,,,0250-58-5082,680,,,,09:00,22:00,,,多目的トイレ有り；エレベーター有り,,生涯学習課村松事務所
152188,3001300044,新潟県,五泉市,吉清水湧水の里,ヨシシミズユウスイノサト,,1003,新潟県五泉市中川新5528-19,,37.71251,139.23329,0250-43-3911,256・257,,五泉市,月火水木金土日,00:00,00:00,一部を除き冬期間使用不可,ビオトープ施設。吉清水水汲み場あり。,,,農林課
