都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金（基本）,料金（詳細）,説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考
152188,2000600011,新潟県,五泉市,　慈光寺,ジコウジ,,,五泉市蛭野870,,,,,,,,,,白山の麓にある曹洞宗の名刹。県指定天然記念物のスギ並木が続く参道の奥に七堂伽藍の荘厳な姿を見ることができます。（平成24年に、本堂など6棟が国登録文化財となりました。）慈光寺には天狗の伝説があり、寺の裏に天狗堂と呼ばれるお堂と天狗が昼寝をしていた天狗杉があります。慈光寺にはこのほかに白山の大蛇伝説も残されています。,,,,,,,,,,,
152188,2000600012,新潟県,五泉市,慈光寺のスギ並木,ジコウジノスギナミキ,,,五泉市蛭野870,,,,,,,,,,曹洞宗越後四ケ道場のひとつとして、古くから信仰を集めてきた名刹、慈光寺。その500ｍに渡る参道には、樹齢300年から500年といわれるスギ並木があります。136本のスギの巨木が並ぶ景観は大変美しく、慈光寺の歴史を訪れる人々に伝えています。県下でも最大規模を誇るといわれる大変貴重なスギ並木です。,,,,,,,,,,,
152188,2000600013,新潟県,五泉市,視後平の滝,シゴヘイノタキ,,,五泉市小面谷字朽木谷2930,,,,,,,,,,哺土原（ほどわら）林道より徒歩15分程の場所にある落差30ｍの滝。川内の山々は、早出川などの浸食により深いV字型の渓谷を形成し、渓谷に流れ込む沢も険しい谷を刻みます。この滝は深い谷と水の浸食により作り出され、周辺の美しい自然と一体となり、すばらしい景観を見せています。,,,,,,,,,,,
152188,2000600014,新潟県,五泉市,森林公園,シンリンコウエン,,,五泉市丸田199,,,,,,,,,,森林公園は杉林を中心とした造林と、自生した植物が混在する里山です。半日ほどでまわれる遊歩道が整備され、陶芸工房やキャンプ施設など季節の花々とともに楽しめます。キャンプ場には炊事場や男女別トイレ、休憩棟があり、4月から11月までご利用できます。,,,,,,,,,,,
152188,2000600015,新潟県,五泉市,菅名岳・大蔵山,スガナダケ・オオクラヤマ,,,五泉市小山田地内,,,,,,,,,,菅名岳・大蔵山の中腹には、ブナの原生林やカツラの巨木が多く、手つかずの自然を見ることができます。山頂からは、東に飯豊連峰、御神楽岳、越後白山などが眺望でき、西には広大な越後平野と遠く日本海に浮かぶ佐渡ヶ島を眺むことができます。,,,,,,,,,,,
152188,2000600016,新潟県,五泉市,菅名岳郷土の森,スガナダケキョウドノモリ,,,五泉市小山田地内,,,,,,,,,,新潟県森林浴の森百選にも選ばれている菅名岳山頂から西斜面に広がる落葉広葉樹林の中で、面積約214haを゛郷土の森”に定めました。トチノキなどの巨木が多く、ブナやカツラの原生林が広がり、森林浴には最適。四季折々の美しい景観を見せてくれます。,,,,,,,,,,,
152188,2000600017,新潟県,五泉市,菅名岳の大トチ,スガナダケノオオトチ,,,五泉市小山田地内,,,,,,,,,,菅名岳西側斜面に広がる「郷土の森」の中に、森の巨人たち100選に選ばれた「菅名岳の大トチ」があります。この大トチは、樹高25ｍ、幹周り7.4ｍもあります。また、郷土の森の中には「どっぱら清水」もあり、地域の皆さんに親しまれ大切にされています。,,,,,,,,,,,
152188,2000600018,新潟県,五泉市,清流の里　川瀬公園,セイリュウノサト　カワゼコウエン,,,五泉市川瀬1684,,,,,,,,,,地下水・阿賀用水を利用した泉や流水路がある公園です。良質な地下水が豊富な五泉市の川瀬地区にあり、春から秋にかけて清らかな水の池やせせらぎを見ながら散策ができます。橋の下は湧水が自噴し、かなりの水量が噴出しています。,,,,,,,,,,,
152188,2000600019,新潟県,五泉市,館之内の大杉,タテノウチノオオスギ,,,五泉市丸田戊45,,,,,,,,,,丸田の山すそにそびえる熊杉の大木。樹高は35ｍ、幹周りは約8.7ｍ、推定樹齢は500年以上といわれています。すぐ脇にある小さなお堂のご神木という伝説があります。この地には[館之内」という地名が残り、中世には城と館があったとされ、堀や土塁が確認されています。,,,,,,,,,,,
152188,2000600020,新潟県,五泉市,チャレンジランド杉川,チャレンジランドスギカワ,,,五泉市上杉川1910-1,,,,,,,,,,木をふんだんに使った「冒険の館」は、100人収容のホールや、研修室・宿泊室・浴室・自炊設備などを備えています。「多目的広場」は、オートキャンプ場としても利用できます。充実した野外・研修活動に、また、渓流釣りや川内山塊登山ルート（上杉川から銀次郎山・銀太郎山等）への基地としても利用ください。,,,,,,,,,,,
152188,2000600021,新潟県,五泉市,どっぱら清水,ドッパラシミズ,,,五泉市小山田北沢地内,,,,,,,,,,「どっぱら清水」はその名のとおり、菅名岳中腹の斜面に開いた穴から水が湧き出していて、寒九の日（寒の入りから9日目。1月の中旬頃）には、五泉の清酒「菅名岳」の仕込み水を汲む行事が行われます。,,,,,,,,,,,
152188,2000600022,新潟県,五泉市,白山,ハクサン,,,五泉市蛭野地内,,,,,,,,,,"五泉市の南に標高1,012ｍの白山がそびえます。春には農耕作業の目安となる「スズ掻き入道」が現れ、地域にとって最も親しまれている山です。毎年4月の第1日曜日に行われる山開きでは、残雪の中多くの登山客で賑わいます。黄金の里会館前に車を停め、慈光寺の杉並木を眺めながら登山口へ。頂上には避難小屋が設置されています。",,,,,,,,,,,
152188,2000600023,新潟県,五泉市,羽黒神社の周防杉,ハグロジンジャノスオウスギ,,,五泉市長橋乙800　羽黒神社境内,,,,,,,,,,長橋集落の羽黒神社境内に立つ御神木です。高さは35ｍ、幹周は6.9ｍあります。平安時代に越後に進軍してきた黒鳥兵衛と羽生田周防守が合戦。周防守は討たれ、妻は夫の首を奪い返してこの地に逃れます。その首を村人が羽黒神社境内の八幡社に納めたという伝説があり、これが名前の由来となっています。,,,,,,,,,,,
152188,2000600024,新潟県,五泉市,早出川ダム,ハヤデガワダム,,,五泉市小面谷　字飛石,,,,,,,,,,早出川の上流は、雄大な山々の風景が楽しめる渓谷になっています。終点の早出川ダムまでの道のりはちょうどよいドライブコース。ダム周辺には衣岩・夫婦滝など見所がいっぱいです。また、ダム湖に沿って金ケ谷付近まで歩いてみると雄大な山々の新緑や紅葉が楽しめます。,,,,,,,,,,,
152188,2000600025,新潟県,五泉市,物産直売所「よりね家」,ブッサンチョクバイジョ「ヨリネヤ」,,,五泉市上木越甲423,,,,,,,,,,さくらんど温泉前にある物産直売所「よりね家」。地元でとれる新鮮な野菜や山菜などの特産品を販売しています。,,,,,,,,,,,
152188,2000600026,新潟県,五泉市,ふれあい自然の里　水芭蕉公園,フレアイシゼンノサト　ミズバショウコウエン,,,五泉市菅出2687,,,,,,,,,,2.1haの公園に、自生する約3万株の水芭蕉が美しく白い花を咲かせ、湿地を真っ白に埋めます。公園はどなたでも気軽に散策できるように木道などを整備して、平成8年3月に開園。3月下旬から4月上旬にかけて、多くの観光客が訪れています。,,,,,,,,,,,
152188,2000600027,新潟県,五泉市,菩提寺山・高立山・護摩堂山,ボダイジヤマ・タカタテヤマ・ゴマドウヤマ,,,五泉市橋田地内,,,,,,,,,,五泉市の西端にある菩提寺・高立・護摩堂連山は、標高約250ｍ程の低山が連なっており、ハイキングにちょうどいいコースが特徴です。気軽に登れることから、特に熟年層や女性層からの人気が高く、多くの人々がさわやかな汗を流しています。,,,,,,,,,,,
152188,2000600028,新潟県,五泉市,馬下保養センター,マオロシホヨウセンター,,,五泉市馬下1816,,,,,,,,,,明るくくつろげる大浴場と特別浴室があり、どなたでも気兼ねなく温泉を楽しめます。また、季節の料理がそろう食堂があるほか、宿泊棟には自炊室が備わっており、食材を持ち込み料理もできます。,,,,,,,,,,,
152188,2000600029,新潟県,五泉市,牧の衛守スギ,マキノエモリスギ,,,五泉市牧1515　八幡宮境内,,,,,,,,,,牧の八幡宮境内の斜面に屹立しています。高さは35ｍ、幹周りは7.9ｍもあり、樹齢は千年以上と推定されています。古くからご神木として地域の人たちに親しまれてきました。日本海側特有の古代スギの特徴を持ち、力強く立つ姿は生命力にあふれ、見るものに感動を与えてくれます。,,,,,,,,,,,
152188,2000600030,新潟県,五泉市,村松観光開発会館　　　　　　　 (ふるさと会館）,ムラマツカンコウカイハツカイカン（フルサトカイカン）,,,五泉市愛宕甲2929-1,,,,,,,,,,桜の名所村松公園内にある村松観光開発会館は、公園を訪れた際の休憩所として多くの人から利用されています。1階は気軽に食事が楽しめる食堂や売店で、村松公園の人気者になっているシカのえさも販売しています。,,,,,,,,,,,
152188,2000600031,新潟県,五泉市,村松公園,ムラマツコウエン,,,五泉市愛宕甲2631-1,,,,,,,,,,県民が選んだ「にいがた景勝百選」で第3位に選ばれている公園です。春の桜や四季折々に咲き誇るつつじ、ぼたん、あじさいなど「花の公園」として有名です。また秋になるとモミジや桜が紅葉する姿も美しく、多くの観光客が訪れます。遊具も充実しているほか、シカがいる公園として小さいお子さまにも人気があります。,,,,,,,,,,,
152188,2000600032,新潟県,五泉市,村松さくらんど温泉,ムラマツサクランドオンセン,,,五泉市上木越甲423-1,,,,,,,,,,庭園の見える浴場や眺めのいい情緒たっぷりの露天風呂が人気の日帰り温泉です。大広間や個室など館内施設でゆったりと休めます。美味しい郷土料理が食べられる食堂や物産直売所も好評です。,,,,,,,,,,,
152188,2000600033,新潟県,五泉市,夫婦滝・不動滝,メオトダキ・フドウダキ,,,五泉市小面地内,,,,,,,,,,奥早出・栗・守門県立公園に指定されている五泉市南部の山岳地帯。そこに端を発する水は幾筋もの清流となり、谷間を縫うように早出川へと注いでいます。夫婦滝・不動滝もそのひとつ。清らかな滝の風情は、周りの自然と調和し美しい景観を見せてくれます。,,,,,,,,,,,
152188,2000600034,新潟県,五泉市,吉清水湧水の里,ヨシシミズワキミズノサト,,,五泉市中川新地内,,,,,,,,,,菅名岳と大蔵山に囲まれ、湧き出る水中には様々な生物が生息しています。自然に恵まれた環境の中、遊歩道が整備され、自然観察の場として小中学生や高校生が学習したり、市民の憩いの場として活躍しています。,,,,,,,,,,,
