都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,医療機関の種類,住所,方書,緯度,経度,電話番号,内線番号,FAX番号,法人番号,法人の名称,医療機関コード,診療曜日,診療開始時間,診療終了時間,診療日時特記事項,時間外における対応,診療科目,病床数,URL,備考
152188,3000400011,新潟県,五泉市,こやま整形外科,コヤマセイケイゲカ,無床診療所,新潟県五泉市駅前1－3－31,,,,0250-41-0321,,,,,,月火木金土,09:00,18:00,,,整形外科;リハビリテーション科,0,http://www.gosen-tokan.jp/doctors/gosen/koyama/index.html,
152188,3000400012,新潟県,五泉市,篠川内科医院,ササガワナイカイイン,無床診療所,新潟県五泉市本町6丁目2-33,,,,0250-42-2319,,,,,,月火水木金土,09:00,18:00,,,内科;消化器科;小児科,0,http://www.gosen-tokan.jp/doctors/gosen/sasagawa/index.html,
152188,3000400013,新潟県,五泉市,佐藤医院,サトウイイン,無床診療所,新潟県五泉市本町3丁目2－30,,,,0250-43-2100,,,,,,月火水木金土,09:00,18:00,,,内科;外科;消化器科,0,http://www.gosen-tokan.jp/doctors/gosen/satou/index.html,
152188,3000400014,新潟県,五泉市,佐野眼科医院,サノガンカイイン,無床診療所,新潟県五泉市南本町1丁目5-3 ,,,,0250-43-7755,,,,,,月火水金土,09:00,18:00,,,眼科,0,http://sano-ganka.byoinnavi.jp/pc/index.html,
152188,3000400015,新潟県,五泉市,渋谷医院,シブヤイイン,無床診療所,新潟県五泉市南本町3丁目4-43,,,,0250-43-7070,,,,,,月火水金土,09:00,17:30,,,内科;消化器科;耳鼻咽喉科,0,http://www.gosen-tokan.jp/doctors/gosen/shibuya/index.html,
152188,3000400016,新潟県,五泉市,たかうち医院,タカウチイイン,有床診療所,新潟県五泉市赤海2丁目6-2 ,,,,0250-43-6222,,,,,,月火水木金土,09:00,18:00,,,内科;小児科;産婦人科,6,http://www.gosen-tokan.jp/doctors/gosen/takauchi/index.html,
152188,3000400017,新潟県,五泉市,たけだ内科クリニック ,タケダナイカクリニック,無床診療所,新潟県五泉市村松1288－1,,,,0250-58-2113,,,,,,月火水木金土,08:05,18:00,,,内科;小児科;消化器内科;内視鏡内科;循環器内科,0,https://www.takedanaika.com/,
152188,3000400018,新潟県,五泉市,中谷医院,ナカタニイイン,無床診療所,新潟県五泉市太田2-6-39,,,,0250-47-7741,,,,,,月火木金土,09:00,18:00,,,内科;消化器内科;婦人科,0,http://www.nakatani-cl.jp/,
152188,3000400019,新潟県,五泉市,南部郷厚生病院,ナンブゴウコウセイビョウイン,病院,新潟県五泉市愛宕甲2925-2,,,,0250-58-6111,,,,,,月火水木金,09:00,12:00,,,神経内科;心臓・高血圧内科;腎臓内科;皮膚科;人工透析;緩和ケア内科,120,http://www.sinjinkai.or.jp/kosei/,
152188,3000400020,新潟県,五泉市,ひろせ内科クリニック,ヒロセナイカクリニック,無床診療所,新潟県五泉市東本町2丁目9-6 ,,,,0250-47-8890,,,,,,月火木金土,09:00,18:00,,,内科;リウマチ科;腎臓内科,0,http://hirose-n-cl.byoinnavi.jp/pc/,
152188,3000400021,新潟県,五泉市,堀内皮膚科医院,ホリウチヒフカイイン,無床診療所,新潟県五泉市本町5丁目1-7,,,,0250-43-5775,,,,,,月火水金土,09:00,17:30,,,皮膚科,0,http://www.gosen-tokan.jp/doctors/gosen/horiuchi/index.html,
152188,3000400022,新潟県,五泉市,梁取医院,ヤナドリイイン,無床診療所,新潟県五泉市村松乙655－1,,,,0250-58-6809,,,,,,月火水木金土,09:00,17:30,,,内科;消化器科（胃腸科）;皮膚科,0,http://www.gosen-tokan.jp/doctors/muramatsu/yanadori/index.html,
152188,3000400023,新潟県,五泉市,やまむら整形外科医院,ヤマムラセイケイゲカイイン,無床診療所,新潟県五泉市太田2-2-14,,,,0250-41-0555,,,,,,月火水金土,09:00,18:30,,,整形外科,0,http://www.gosen-tokan.jp/doctors/gosen/yamamura/index.html,
152188,3000400024,新潟県,五泉市,渡辺内科,ワタナベナイカ,無床診療所,新潟県五泉市吉沢1丁目9-19,,,,0250-43-6860,,,,,,月火水木金土,09:00,17:15,,,内科;消化器科;小児科,0,https://watanabeclinic-gosen.jimdofree.com/,
152188,3000400025,新潟県,五泉市,わたべこどもクリニック,ワタベコドモクリニック,無床診療所,新潟県五泉市太田975-1,,,,0250-41-0811,,,,,,月火水木金土,09:00,18:30,,,小児科;アレルギー科,0,http://www.gosen-tokan.jp/doctors/gosen/watabe/index.html,
