都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,設置位置,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,備考
152188,3000200018,新潟県,五泉市,北五泉駅待合室,キタゴセンエキマチアイシツ,五泉市北五泉駅前993-3,,37.746631,139.169919,待合室,0250-43-5774,,,,,,,業務時間内利用可。,,,
152188,3000200019,新潟県,五泉市,北五泉クリニック,キタゴセンクリニック,五泉市三本木3042-2,,37.750771,139.180401,診察室,0250-43-3880,,,,月火水木金土,09:00,18:00,水曜日、土曜日の午後と祝日終日利用不可。,,,
152188,3000200020,新潟県,五泉市,きなせや悠遊館,キナセヤユウユウカン,五泉市吉沢3丁目1-19,,37.736928,139.183202,事務室,0250-43-4359,,,,,,,施設利用時利用可。,,,
152188,3000200021,新潟県,五泉市,㈱キューピット五泉店,（カブ）キューピットゴセンテン,五泉市郷屋川2丁目2-30,,37.740159,139.180342,サービスカウンター,0250-43-8580,,,,月火水木金土日,09:00,21:00,,,,
152188,3000200022,新潟県,五泉市,共創未来五泉薬局,キョウソウミライゴセンヤッキョク,五泉市南本町1丁目5-2,,37.733787,139.176424,１階エントランス,0250-43-7901,,,,月火水金土,08:30,18:00,土曜日の午後、木曜日、日曜日、祝日利用不可。,,,
152188,3000200023,新潟県,五泉市,くいどころ里味五泉店,クイドコロサトミゴセンテン,五泉市太田841-1,,37.744981,139.187743,会計カウンター,0250-47-3915,,,,月火水木金土日,11:00,22:00,,,,
152188,3000200024,新潟県,五泉市,グループホームありがとうの家（小新保）,グループホームアリガトウノイエ（コシンボ）,五泉市村松1289-1,,37.699005,139.176895,ホール入口,0250-58-7890,,,,月火水木金土日,,,24時間利用可。,,,
152188,3000200025,新潟県,五泉市,グループホームありがとうの家（新町）,グループホームアリガトウノイエ（シンマチ）,五泉市村松甲5604-1,,37.68679,139.18081,第1玄関ホール,0250-58-8313,,,,月火水木金土日,,,24時間利用可。,,,
152188,3000200026,新潟県,五泉市,ケアサポート虹,ケアサポートニジ,五泉市船越130-2,,37.759856,139.170457,ホール,0250-25-7416,,,,月火水木金土日,,,24時間利用可。,,,
152188,3000200027,新潟県,五泉市,五泉警察署,ゴセンケイサツショ,五泉市東本町2丁目8-16,,37.741121,139.182545,１階事務室,0250-42-0110,,,,月火水木金土日,,,24時間利用可。,,,
152188,3000200028,新潟県,五泉市,五泉高等学校,ゴセンコウトウガッコウ,五泉市粟島1-23,,37.748123,139.180609,１階事務室脇の廊下,0250-43-3314,,,,月火水木金,,,業務時間内利用可。,,,
152188,3000200029,新潟県,五泉市,ごせん桜アロマ工房,ゴセンサクラアロマコウボウ,五泉市愛宕甲2712-1,,37.690525,139.192662,売店,0250-47-7081,,,,月火水木金土日,09:00,17:00,12/29から1/3まで利用不可。,,,
152188,3000200030,新潟県,五泉市,五泉市粟島公園・粟島テニスコート,ゴセンシアワシマコウエン・アワシマテニスコート,五泉市粟島4866,,37.747198,139.179125,総合会館大ホール屋外　公園に面するシャッター脇,,,,,月火水木金土日,,,24時間利用可。,,,
152188,3000200031,新潟県,五泉市,五泉市粟島ふれあい館（旧青少年ホーム）,ゴセンシアワシマフレアイカン（キュウセイショウネンホーム）,五泉市粟島851,,37.749737,139.177074,１階事務室,0250-43-1050,,,,月火水木金土日,09:00,22:00,12/29から1/3は利用不可。,,,
152188,3000200032,新潟県,五泉市,五泉市営野球場（丸田）,ゴセンシエイヤキュウジョウ（マルタ）,五泉市丸田580-1,,37.74618,139.146474,玄関ホール,0250-43-0137,,,,,,,施設利用時利用可。,,,
152188,3000200033,新潟県,五泉市,五泉市五箇スポーツ会館,ゴセンシゴカスポーツカイカン,五泉市笹野町甲2117-2,,37.698897,139.151521,和室,0250-58-1555,,,,,,,施設利用時利用可。,,,
152188,3000200034,新潟県,五泉市,五泉市子育て支援センター,ゴセンシコソダテシエンセンター,五泉市寺沢3丁目1-45,,37.731118,139.182712,遊戯室,0250-42-2002,,,,月火水木金土,,,開所時間内利用可。,,,
152188,3000200035,新潟県,五泉市,五泉市斎場,ゴセンシサイジョウ,五泉市赤海2887-14,,37.748715,139.197477,１階ロビー,0250-48-5261,,,,月火水木金土日,08:30,17:15,,,,
152188,3000200036,新潟県,五泉市,五泉市さくらんど会館,ゴセンシサクランドカイカン,五泉市村松乙118-2,,37.700336,139.206518,事務室内,0250-58-1133,,,,月火水木金土日,09:00,22:00,12/29から1/3利用不可。,,,
152188,3000200037,新潟県,五泉市,五泉市市民プール,ゴセンシシミンプール,五泉市粟島753,,37.749349,139.177474,事務室,0250-43-0800,,,,,,,施設利用時利用可。,,,
152188,3000200038,新潟県,五泉市,五泉市障害者地域活動支援センター　あさひの家,ゴセンシショウガイシャチイキカツドウシエンセンターアサヒノイエ,五泉市旭町8-43,,37.74781,139.181589,事務室,0250-41-1510,,,,火水木金土,09:00,17:30,業務時間内利用可。,,,
152188,3000200039,新潟県,五泉市,五泉市障害者地域活動支援センター　虹工房,ゴセンシショウガイシャチイキカツドウシエンセンターニジコウボウ,五泉市旭町7-44,,37.7467,139.181541,事務室,0250-42-3905,,,,月火水木金,08:30,17:00,業務時間内利用可。,,,
152188,3000200040,新潟県,五泉市,五泉市障害者地域生活支援センター　こすもすの家,ゴセンシショウガイシャチイキセイカツシエンセンターコスモスノイエ,五泉市石曽根7091-2,,37.697834,139.186582,事務室,0250-58-1065,,,,月火水木金土,08:30,17:15,土曜日は8：30~17：15。年末年始利用不可。,,,
152188,3000200041,新潟県,五泉市,五泉市消防署村松分署,ゴセンシショウボウショムラマツブンショ,五泉市愛宕6961-1,,37.696979,139.188903,受付,0250-58-6001,,,,月火水木金土日,,,24時間利用可。,,,
152188,3000200042,新潟県,五泉市,五泉市消防本部,ゴセンシショウボウホンブ,五泉市粟島1-28,,37.748998,139.181391,通信指令室,0250-42-0119,,,,月火水木金土日,,,24時間利用可。,,,
152188,3000200043,新潟県,五泉市,五泉市森林公園,ゴセンシシンリンコウエン,五泉市丸田199,,37.745085,139.138254,炊事場,,,,,月火水木金土日,,,24時間利用可。12/1から3/31利用不可。,,,
152188,3000200044,新潟県,五泉市,五泉市総合会館,ゴセンシソウゴウカイカン,五泉市旭町7-11,,37.746952,139.179831,警備員室前(管理棟)、大ホール入口、事務室(市民プール開設期間を除く)、トレーニング室,0250-42-5194,,,,月火水木金土日,09:00,22:00,12/29から1/3は利用不可。,,,
152188,3000200045,新潟県,五泉市,五泉市チャレンジランド杉川,ゴセンシチャレンジランドスギカワ,五泉市上杉川1910-1,,37.634058,139.250161,１階事務室,0250-55-6543,,,,月火水木金土日,,,24時間利用可。11月中旬から5/31利用不可。,,,
152188,3000200046,新潟県,五泉市,五泉市陶芸施設,ゴセンシトウゲイシセツ,五泉市村松5953,,37.685647,139.178116,玄関,,,,,,,,施設利用時利用可。,,,
152188,3000200047,新潟県,五泉市,五泉市西公園,ゴセンシニシコウエン,五泉市土深60,,37.741623,139.158978,四阿脇,,,,,月火水木金土日,,,24時間利用可。積雪時利用不可。,,,
152188,3000200048,新潟県,五泉市,五泉市白山子育て支援センター,ゴセンシハクサンコソダテシエンセンター,五泉市白山2-35,,37.745376,139.170885,遊戯室,0250-43-2588,,,,月火水木金土,,,開所時間内利用可。,,,
152188,3000200049,新潟県,五泉市,五泉市福祉会館,ゴセンシフクシカイカン,五泉市太田1092-1,,37.744598,139.183341,１階エントランス,0250-41-1000,,,,月火水木金土日,09:00,22:00,12/29から1/3は利用不可。,,,
152188,3000200050,新潟県,五泉市,五泉市保健センター,ゴセンシホケンセンター,五泉市太田438-1,,37.745422,139.182058,１階集団指導室,0250-43-3911,,,,月火水木金,,,業務時間内利用可。,,,
152188,3000200051,新潟県,五泉市,五泉市村松郷土資料館,ゴセンシムラマツキョウドシリョウカン,五泉市村松乙2-1,,37.692982,139.169006,１階事務室,0250-58-8293,,,,月火水金土日,10:00,16:00,木曜日が祝日の場合利用可。12/29から1/3利用不可。,,,
152188,3000200052,新潟県,五泉市,五泉市村松さくらんど温泉,ゴセンシムラマツサクランドオンセン,五泉市上木越甲423-1,,37.700336,139.206518,事務所,0250-58-1611,,,,月火水木金土日,09:30,21:30,第２木曜日利用不可。,,,
152188,3000200053,新潟県,五泉市,五泉市村松支所,ゴセンシムラマツシショ,五泉市村松乙130-1,,37.6935052,139.1746537,玄関ロビー,0250-58-7181,,,,月火水木金土日,,,24時間利用可。,,,
152188,3000200054,新潟県,五泉市,五泉市村松体育館さくらアリーナ,ゴセンシムラマツタイイクカンサクラアリーナ,五泉市石曽根8074-1,,37.696886,139.189865,1階　事務室(村松テニスコート用)、多目的ケアルーム(自動販売機内臓）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　3階　展望コーナー(村松プール開設期間除く),0250-58-6373,,,,月火水木金土日,08:30,22:00,,,,
152188,3000200055,新潟県,五泉市,五泉市村松デイサービスセンター,ゴセンシムラマツデイサービスセンター,五泉市愛宕甲7211-1,,37.687489,139.19219,玄関,0250-58-1141,,,,月火水木金土日,08:30,17:30,12/31から1/3まで利用不可。,,,
152188,3000200056,新潟県,五泉市,五泉市村松プール,ゴセンシムラマツプール,五泉市愛宕甲2712-1,,37.690533,139.190719,事務室,0250-58-7559,,,,月火水木金土日,,,施設利用時利用可。,,,
152188,3000200057,新潟県,五泉市,五泉市村松武道館,ゴセンシムラマツブドウカン,五泉市愛宕甲2631-1,,37.693693,139.189571,事務室,0250-58-8129,,,,,,,施設利用時利用可。,,,
152188,3000200058,新潟県,五泉市,五泉市村松保健センター,ゴセンシムラマツホケンセンター,五泉市村松乙116-1,,37.693491,139.173947,事務室,0250-58-8811,,,,月火水木金,08:30,17:15,,,,
152188,3000200059,新潟県,五泉市,五泉市村松老人福祉センター　かがやきの郷,ゴセンシムラマツロウジンフクシセンターカガヤキノサト,五泉市石曽根8074-1,,37.69714,139.190679,事務室受付,0250-58-2659,,,,月火水木金,08:30,19:00,,,,
152188,3000200060,新潟県,五泉市,五泉市役所,ゴセンシヤクショ,五泉市太田1094-1,,37.744483,139.1825675,１階市民ロビー,0250-43-3911,,,,月火水木金土日,,,24時間利用可。,,,
152188,3000200061,新潟県,五泉市,五泉浄水場,ゴセンジョウスイジョウ,五泉市木越864,,37.719039,139.182445,２階宿直室前,0250-43-1515,,,,月火水木金土日,,,24時間利用可。,,,
152188,3000200062,新潟県,五泉市,五泉市立あさひ保育園,ゴセンシリツアサヒホイクエン,五泉市猿和田27,,37.732833,139.229831,玄関,0250-43-2837,,,,月火水木金土,,,保育時間内利用可。,,,
152188,3000200063,新潟県,五泉市,五泉市立愛宕小学校,ゴセンシリツアタゴショウガッコウ,五泉市石曽根8074-2,,37.697885,139.190443,体育館入口,0250-58-6302,,,,月火水木金,08:30,17:15,体育館一般開放時も利用可。,,,
152188,3000200064,新潟県,五泉市,五泉市立大蒲原小学校,ゴセンシリツオオカンバラショウガッコウ,五泉市南田中646-2,,37.672875,139.149899,体育館入口,0250-58-6306,,,,月火水木金,08:30,17:15,,,,
152188,3000200065,新潟県,五泉市,五泉市立大蒲原保育園,ゴセンシリツオオカンバラホイクエン,五泉市南田中甲390,,37.672849,139.151217,玄関,0250-58-6919,,,,月火水木金土,,,保育時間内利用可。,,,
152188,3000200066,新潟県,五泉市,五泉市立川内保育園,ゴセンシリツカワチホイクエン,五泉市川内153-3,,37.678444,139.210813,玄関,0250-55-6104,,,,月火水木金土,,,保育時間内利用可。,,,
152188,3000200067,新潟県,五泉市,五泉市立川東小学校,ゴセンシリツカワヒガシショウガッコウ,五泉市中川新2431,,37.72925,139.228556,体育館出入口,0250-42-3737,,,,月火水木金,,,業務時間内利用可。体育館一般開放時も利用可。,,,
152188,3000200068,新潟県,五泉市,五泉市立川東中学校,ゴセンシリツカワヒガシチュウガッコウ,五泉市猿和田181,,37.729211,139.224926,体育館出入口,0250-42-3577,,,,月火水木金,,,業務時間内利用可。体育館一般開放時も利用可。,,,
152188,3000200069,新潟県,五泉市,五泉市立かわひがし保育園,ゴセンシリツカワヒガシホイクエン,五泉市中川新880-1,,37.722147,139.222776,事務室,0250-43-1602,,,,月火水木金土,,,保育時間内利用可。,,,
152188,3000200070,新潟県,五泉市,五泉市立五泉北中学校,ゴセンシリツゴセンキタチュウガッコウ,五泉市三本木2丁目7-1,,37.754231,139.172948,体育館出入口,0250-43-0150,,,,月火水木金,,,業務時間内利用可。体育館一般開放時も利用可。,,,
152188,3000200071,新潟県,五泉市,五泉市立五泉小学校,ゴセンシリツゴセンショウガッコウ,五泉市学校町3-14,,37.744186,139.17827,体育館出入口,0250-43-3101,,,,月火水木金,,,業務時間内利用可。体育館一般開放時も利用可。,,,
152188,3000200072,新潟県,五泉市,五泉市立五泉中学校,ゴセンシリツゴセンチュウガッコウ,五泉市南本町2丁目1-87,,37.732653,139.177559,体育館出入口,0250-43-3036,,,,月火水木金,,,業務時間内利用可。体育館一般開放時も利用可。,,,
152188,3000200073,新潟県,五泉市,五泉市立五泉東小学校,ゴセンシリツゴセンヒガシショウガッコウ,五泉市赤海3714,,37.737765,139.194173,更衣室前,0250-42-2674,,,,月火水木金,,,業務時間内利用可。体育館一般開放時も利用可。,,,
152188,3000200074,新潟県,五泉市,五泉市立五泉南小学校,ゴセンシリツゴセンミナミショウガッコウ,五泉市駅前2丁目5-53,,37.735425,139.18277,体育館出入口,0250-43-0345,,,,月火水木金,,,業務時間内利用可。体育館一般開放時も利用可。,,,
152188,3000200075,新潟県,五泉市,五泉市立こばと保育園,ゴセンシリツコバトホイクエン,五泉市太田1丁目10-28,,37.739267,139.189275,玄関,0250-43-1051,,,,月火水木金土,,,保育時間内利用可。,,,
152188,3000200076,新潟県,五泉市,五泉市立さくら保育園,ゴセンシリツサクラホイクエン,五泉市白山2-35,,37.745846,139.170488,玄関,0250-42-2366,,,,月火水木金土,,,保育時間内利用可。,,,
152188,3000200077,新潟県,五泉市,五泉市立巣本小学校,ゴセンシリツスモトショウガッコウ,五泉市論瀬47-1,,37.749098,139.201816,体育館出入口,0250-42-4076,,,,月火水木金,,,業務時間内利用可。体育館一般開放時も利用可。,,,
152188,3000200078,新潟県,五泉市,五泉市立すもと保育園,ゴセンシリツスモトホイクエン,五泉市一本杉306-2,,37.75306,139.198842,玄関,0250-43-3530,,,,月火水木金土,,,保育時間内利用可。,,,
152188,3000200079,新潟県,五泉市,五泉市立総合保育園,ゴセンシリツソウゴウホイクエン,五泉市三本木3131,,37.749856,139.187278,事務室,0250-25-7544,,,,月火水木金土,,,保育時間内利用可。,,,
152188,3000200080,新潟県,五泉市,五泉市立第一幼稚園,ゴセンシリツダイイチヨウチエン,五泉市学校町3-52,,37.743262,139.178211,１階職員室,0250-42-2601,,,,月火水木金,,,業務時間内利用可。,,,
152188,3000200081,新潟県,五泉市,五泉市立つくし保育園,ゴセンシリツツクシホウイクエン,五泉市木越乙2863,,37.723402,139.186993,事務室,0250-42-2756,,,,月火水木金土,,,保育時間内利用可。,,,
152188,3000200082,新潟県,五泉市,五泉市立図書館,ゴセンシリツトショカン,五泉市郷屋川1丁目1-8,,37.739388,139.17746,１階警備員室,0250-43-3110,,,,月火水木金土日,09:30,18:30,土曜日、日曜日は17:00まで利用可。,,,
152188,3000200083,新潟県,五泉市,五泉市立橋田小学校,ゴセンシリツハシタショウガッコウ,五泉市橋田1016,,37.732508,139.140296,体育館玄関,0250-41-0055,,,,月火水木金,,,業務時間内利用可。体育館一般開放時も利用可。,,,
152188,3000200084,新潟県,五泉市,五泉市立はしだ保育園,ゴセンシリツハシダホウイクエン,五泉市橋田1422-1,,37.737017,139.13972,玄関,0250-43-1290,,,,月火水木金土,,,保育時間内利用可。,,,
152188,3000200085,新潟県,五泉市,五泉市立村松こども園,ゴセンシリツムラマツコドモエン,五泉市村松乙118-3,,37.692353,139.174215,１階玄関靴箱上,0250-58-6544,,,,月火水木金,,,業務時間内利用可。,,,
152188,3000200086,新潟県,五泉市,五泉市立村松桜中学校,ゴセンシリツムラマツサクラチュウガッコウ,五泉市愛宕甲2705-1,,37.689409,139.193301,体育館玄関,0250-58-6530,,,,月火水木金,08:30,17:15,体育館一般開放時も利用可。,,,
152188,3000200087,新潟県,五泉市,五泉市立村松小学校,ゴセンシリツムラマツショウガッコウ,五泉市城下1丁目865,,37.694864,139.16933,体育館入口,0250-58-6050,,,,月火水木金,08:30,17:15,体育館一般開放時も利用可。,,,
152188,3000200088,新潟県,五泉市,五泉市立村松図書館,ゴセンシリツムラマツトショカン,五泉市村松乙224-2,,37.694146,139.175636,１階ロビー左側,0250-58-1505,,,,月火水木金土日,09:30,18:30,土曜日、日曜日は17:00まで利用可。,,,
152188,3000200089,新潟県,五泉市,五泉市老人福祉センター　翠泉園,ゴセンシロウジンフクシセンタースイセンエン,五泉市横町3丁目3-9,,37.736441,139.168973,１階事務室,0250-42-3414,,,,月火水木金土日,,,業務時間内利用可。,,,
152188,3000200090,新潟県,五泉市,五泉地域衛生施設組合ゴミ焼却場,ゴセンチイキエイセイシセツクミアイゴミショウキャクジョウ,五泉市論瀬8900-1,,37.752938,139.216702,事務室前,0250-43-3852,,,,月火水木金土,,,業務時間内利用可。,,,
152188,3000200091,新潟県,五泉市,五泉地域包括支援センター,ゴセンチイキホウカツシエンセンター,五泉市南本町1丁目6-24,,37.734341,139.179161,１階事務室前,0250-41-1710,,,,月火水木金,08:30,17:15,,,,
152188,3000200092,新潟県,五泉市,五泉中央自動車学校,ゴセンチュウオウジドウシャガッコウ,五泉市五泉2468-2,,37.728433,139.17817,１階教習生待合室,0250-41-0825,,,,月火水木金土日,,,業務時間内利用可。,,,
152188,3000200093,新潟県,五泉市,五泉ファミリーボウル,ゴセンファミリーボウル,五泉市木越石道1930,,37.723272,139.176577,フロント前,0250-43-1688,,,,月火水木金土日,12:00,23:00,日曜日は8:00から利用可。,,,
152188,3000200094,新潟県,五泉市,五泉南っ子学童クラブ,ゴセンミナミッコガクドウクラブ,五泉市南本町1丁目1-29,,37.734906,139.17719,事務室,0250-43-0370,,,,月火水木金土日,13:00,18:30,学校休業日は7:30から利用可。,,,
152188,3000200095,新潟県,五泉市,五泉六島クリニック,ゴセンロクシマクリニック,五泉市三本木2丁目8-14,,37.75356,139.172967,１階待合室,0250-43-6233,,,,月火水木金土,09:00,18:30,木曜日、土曜日の午後利用不可。,,,
152188,3000200096,新潟県,五泉市,コンサートホール五泉店,コンサートホールゴセンテン,五泉市三本木字早出3005,,37.752497,139.17801,エントランス,0250-42-7800,,,,月火水木金土日,09:00,10:45,,,,
152188,3000200097,新潟県,五泉市,在宅複合型施設　ひまわり・五十嵐整形外科,ザイタクフクゴウガタシセツ　ヒマワリ・イカラシセイケイゲカ,五泉市南本町3丁目948-1,,37.73098,139.177417,通所リハビリ・通所介護の渡り廊下,0250-41-0303,,,,月火水金,09:00,18:00,祝日利用不可。,,,
152188,3000200098,新潟県,五泉市,在宅複合型施設　うずらはし,ザイタクフクゴウガタシセツウズラハシ,五泉市橋田丙497-2,,37.728069,139.135972,ショートステイステーション,0250-48-5588,,,,月火水木金土日,,,24時間利用可。,,,
152188,3000200099,新潟県,五泉市,さくら学童クラブ・五泉市村松子育て支援センター,サクラガクドウクラブ・ゴセンシムラマツコソダテシエンセンター,五泉市村松乙75-7,,37.691258,139.171584,遊戯室奥廊下,0250-58-7435,,,,月火水木金土,,,開所時間内利用可。,,,
152188,3000200100,新潟県,五泉市,篠川内科医院,ササガワナイカイイン,五泉市本町6丁目2-33,,37.744774,139.175814,診察室,0250-42-2319,,,,月火水木金土,09:00,18:00,水曜日、土曜日の午後と第３土曜日、祝日終日利用不可。,,,
152188,3000200101,新潟県,五泉市,山王体育館,サンノウタイイクカン,五泉市村松甲6441-14,,37.683496,139.173241,体育館用具室,,,,,,,,施設利用時利用可。,,,
152188,3000200102,新潟県,五泉市,渋谷医院,シブヤイイン,五泉市南本町3丁目4-43,,37.729951,139.177238,内科診察室,0250-43-7070,,,,月火水木金土,09:00,17:30,木曜日、土曜日の午後と第２、第４土曜日、日曜日、祝日終日利用不可。,,,
152188,3000200103,新潟県,五泉市,社会福祉法人中東福祉会　いずみの里,シャカイフクシホウジンチュウトウフクシカイイズミノサト,五泉市中川新1498,,37.711026,139.231881,医務室,0250-47-2213,,,,月火水木金土日,,,24時間利用可。,,,
152188,3000200104,新潟県,五泉市,社会福祉法人中東福祉会　きなせ家,シャカイフクシホウジンチュウトウフクシカイキナセヤ,五泉市寺沢3丁目1-45,,37.731157,139.182639,２階事務室,0250-58-9300,,,,月火水木金土,09:00,17:00,日曜日、お盆、年末年始利用不可。,,,
152188,3000200105,新潟県,五泉市,社会福祉法人中東福祉会　五泉中央デイサービス,シャカイフクシホウジンチュウトウフクシカイゴセンチュウオウデイサービス,五泉市太田1133-1,,37.743843,139.183054,ホール,0250-41-1212,,,,月火水木金土日,,,業務時間内利用可。,,,
152188,3000200106,新潟県,五泉市,社会福祉法人中東福祉会　さくらの里,シャカイフクシホウジンチュウトウフクシカイサクラノサト,五泉市石曽根309-3,,37.699369,139.190144,玄関のカウンター,0250-47-6510,,,,月火水木金,08:30,17:00,業務時間内利用可。,,,
152188,3000200107,新潟県,五泉市,社会福祉法人中東福祉会　第二いずみの里,シャカイフクシホウジンチュウトウフクシカイダイニイズミノサト,五泉市中川新1498,,37.711271,139.230656,医務室,0250-47-2280,,,,月火水木金土日,,,24時間利用可。,,,
152188,3000200108,新潟県,五泉市,十全体育館,ジュウゼンタイイクカン,五泉市安出156-1,,37.668385,139.18066,体育館入口,,,,,,,,施設利用時利用可。,,,
152188,3000200109,新潟県,五泉市,小規模多機能型居宅介護　とういし菜の花,ショウキボタキノウガタキョタクカイゴトウイシナノハナ,五泉市東石曽根5651,,37.703985,139.190453,玄関,0250-58-1767,,,,月火水木金土日,,,24時間利用可。,,,
152188,3000200110,新潟県,五泉市,小規模多機能型居宅介護　菜の花,ショウキボタキノウガタキョタクカイゴナノハナ,五泉市猿和田534-1,,37.730548,139.227302,玄関,0250-47-3147,,,,月火水木金土日,,,24時間利用可。,,,
152188,3000200111,新潟県,五泉市,私立エービーシー幼稚園,シリツエービーシーヨウチエン,五泉市五泉2483-2,,37.727721,139.178748,園舎ホール,0250-42-5372,,,,月火水木金土,,,保育時間内利用可。,,,
152188,3000200112,新潟県,五泉市,私立五泉いずみこども園,シリツゴセンイズミコドモエン,五泉市東本町2丁目8-41,,37.740881,139.182258,廊下,0250-42-3366,,,,月火水木金土,,,保育時間内利用可。,,,
152188,3000200113,新潟県,五泉市,私立五泉みどりこども園,シリツゴセンミドリコドモエン,五泉市本田屋1002-1,,37.702418,139.17712,玄関,0250-41-5070,,,,月火水木金土,07:15,19:15,,,,
152188,3000200114,新潟県,五泉市,自立就労センターいずみ,ジリツシュウロウセンターイズミ,五泉市中川新5545-1,,37.711822,139.232959,事務室,0250-48-3085,,,,月火水木金,08:30,17:15,業務時間内利用可。,,,
152188,3000200115,新潟県,五泉市,私立すみれこども園,シリツスミレコドモエン,五泉市駅前2丁目6-19,,37.734905,139.18206,事務室,0250-42-2647,,,,月火水木金土,,,保育時間内利用可。,,,
152188,3000200116,新潟県,五泉市,私立ひまわりこども園,シリツヒマワリコドモエン,五泉市荻曽根187-1,,37.739216,139.165705,事務室,0250-42-3234,,,,月火水木金土,,,保育時間内利用可。,,,
152188,3000200117,新潟県,五泉市,翠玉の湯佐取館,スイギョクノユサドリカン,五泉市佐取3008,,37.736174,139.294523,１階フロント,0250-47-2211,,,,月火水木金土日,,,24時間利用可。,,,
