NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
2001100032,五泉市立五泉小学校,ゴセンシリツゴセンショウガッコウ,新潟県五泉市学校町3-14,,37.744186,139.178270,,0250-43-3101,,152188,新潟県,五泉市,1,1,,1,,1,,,1,1028,,,
2001100033,五泉市立五泉中学校,ゴセンシリツゴセンチュウガッコウ,新潟県五泉市南本町2-1-87,,37.732653,139.177559,,0250-43-3036,,152188,新潟県,五泉市,1,1,,1,,1,,,1,1017,,,
2001100034,五泉市立五泉東小学校,ゴセンシリツゴセンヒガシショウガッコウ,新潟県五泉市赤海3714,,37.737765,139.194173,,0250-42-2674,,152188,新潟県,五泉市,,1,,1,,1,,,1,941,,,
2001100035,五泉市立五泉南小学校,ゴセンシリツゴセンミナミショウガッコウ,新潟県五泉市駅前2-5-53,,37.735425,139.182770,,0250-43-0345,,152188,新潟県,五泉市,1,1,,1,,1,,,1,754,,,
2001100036,五泉市立こばと保育園,ゴセンシリツコバトホイクエン,新潟県五泉市太田1-10-28,,37.739267,139.189275,,0250-43-1051,,152188,新潟県,五泉市,,1,,1,,1,,,1,210,,,
2001100037,五泉市立さくら保育園,ゴセンシリツサクラホイクエン,新潟県五泉市白山2-35,,37.745846,139.170488,,0250-42-2366,,152188,新潟県,五泉市,,1,,1,,1,,,1,165,,,
2001100038,五泉市立巣本小学校,ゴセンシリツスモトショウガッコウ,新潟県五泉市論瀬47-1,,37.749098,139.201816,,0250-42-4076,,152188,新潟県,五泉市,,1,,1,,1,,,1,591,,,
2001100039,五泉市立すもと保育園,ゴセンシリツスモトホイクエン,新潟県五泉市一本杉306-2,,37.753060,139.198842,,0250-43-3530,,152188,新潟県,五泉市,,1,,1,,1,,,1,292,,,
2001100040,五泉市立第一幼稚園,ゴセンシリツダイイチヨウチエン,新潟県五泉市学校町3-52,,37.743262,139.178211,,0250-42-2601,,152188,新潟県,五泉市,,1,,1,,1,,,1,144,,,
2001100041,五泉市立つくし保育園,ゴセンシリツツクシホイクエン,新潟県五泉市木越乙2863,,37.723402,139.186993,,0250-42-2756,,152188,新潟県,五泉市,1,1,,1,,1,,,1,298,,,
2001100042,五泉市立図書館,ゴセンシリツトショカン,新潟県五泉市郷屋川1-1-8,,37.739388,139.177460,,0250-43-3110,,152188,新潟県,五泉市,1,1,,1,,1,,,1,200,,,
2001100043,五泉市立橋田小学校,ゴセンシリツハシタショウガッコウ,新潟県五泉市橋田1016,,37.732508,139.140296,,0250-41-0055,,152188,新潟県,五泉市,1,1,,1,,1,,,1,682,,,
2001100044,五泉市立はしだ保育園,ゴセンシリツハシダホイクエン,新潟県五泉市橋田1422-1,,37.737017,139.139720,,0250-43-1290,,152188,新潟県,五泉市,1,,,1,,1,,,1,274,,,
2001100045,五泉市立村松こども園,ゴセンシリツムラマツコドモエン,新潟県五泉市村松乙118-3,,37.692353,139.174215,,0250-58-6544,,152188,新潟県,五泉市,1,1,,1,,1,,,1,158,,,
2001100046,五泉市立村松桜中学校,ゴセンシリツムラマツサクラチュウガッコウ,新潟県五泉市愛宕甲2705-1,,37.689409,139.193301,,0250-58-6530,,152188,新潟県,五泉市,1,1,,1,,1,,,1,1384,,,
2001100047,五泉市立村松小学校,ゴセンシリツムラマツショウガッコウ,新潟県五泉市城下1-865,,37.694864,139.169330,,0250-58-6050,,152188,新潟県,五泉市,1,1,,1,,1,,,1,1104,,,
2001100048,五泉市老人福祉センター翠泉園,ゴセンシロウジンフクシセンタースイセンエン,新潟県五泉市横町3-3-9,,37.736525,139.169271,,0250-42-3414,,152188,新潟県,五泉市,1,1,,1,,1,,,1,132,,,
2001100049,さくら学童クラブ・村松子育て支援センター,サクラガクドウクラブ・ムラマツコソダテシエンセンター,新潟県五泉市村松乙75-7,,37.691276,139.171693,,0250-58-7435,,152188,新潟県,五泉市,1,1,,1,,1,,,1,70,,,
2001100050,十全農村公園,ジュウゼンノウソンコウエン,新潟県五泉市大原875,,37.664678,139.182349,,0250-43-3911 ,,152188,新潟県,五泉市,1,1,,1,,1,,,,,,,
2001100051,城跡公園,シロアトコウエン,新潟県五泉市村松乙19,,37.693422,139.170072,,0250-43-3911 ,,152188,新潟県,五泉市,,1,,1,,1,,,,,,,
2001100052,すみれこども園,スミレコドモエン,新潟県五泉市駅前2-6-19,,37.734810,139.182068,,0250-42-2647,,152188,新潟県,五泉市,1,1,,1,,1,,,1,333,,,
2001100053,千原農村公園,チワラノウソンコウエン,新潟県五泉市千原甲414-1,,37.706515,139.156906,,0250-43-3911 ,,152188,新潟県,五泉市,,1,,1,,1,,,,,,,
2001100054,特別養護老人ホーム山王苑,トクベツヨゴロウジンホームサンノウエン,新潟県五泉市村松203-1,,37.686308,139.167104,,0250-58-8989,,152188,新潟県,五泉市,1,1,,1,,1,,,1,161,,,
2001100055,新潟県立五泉高等学校グラウンド,ニイガタケンリツゴセンコウトウガッコウグラウンド,新潟県五泉市粟島1-23,,37.748438,139.180569,,0250-43-3314 ,,152188,新潟県,五泉市,,1,,1,,1,,,1,4248,,,想定収容人数は新潟県立五泉高等学校全体の収容人数
2001100056,新潟県立五泉高等学校小体育館,ニイガタケンリツゴセンコウトウガッコウショウタイイクカン,新潟県五泉市粟島1-23,,37.748438,139.180569,,0250-43-3314 ,,152188,新潟県,五泉市,,1,,,,1,,,1,4248,,,想定収容人数は新潟県立五泉高等学校全体の収容人数
2001100057,新潟県立五泉高等学校セミナーハウス,ニイガタケンリツゴセンコウトウガッコウセミナーハウス,新潟県五泉市粟島1-23,,37.748438,139.180569,,0250-43-3314 ,,152188,新潟県,五泉市,1,1,,1,,1,,,1,4248,,,想定収容人数は新潟県立五泉高等学校全体の収容人数
2001100058,新潟県立五泉高等学校大体育館,ニイガタケンリツゴセンコウトウガッコウダイタイイクカン,新潟県五泉市粟島1-23,,37.748438,139.180569,,0250-43-3314 ,,152188,新潟県,五泉市,,1,,1,,1,,,1,4248,,,想定収容人数は新潟県立五泉高等学校全体の収容人数
2001100059,新潟県立五泉高等学校普通教室棟,ニイガタケンリツゴセンコウトウガッコウフツウキョウシツトウ,新潟県五泉市粟島1-23,,37.748438,139.180569,,0250-43-3314 ,,152188,新潟県,五泉市,1,1,,1,,1,,,1,4248,,,想定収容人数は新潟県立五泉高等学校全体の収容人数
2001100060,新潟県立五泉高等学校武道場,ニイガタケンリツゴセンコウトウガッコウブドウジョウ,新潟県五泉市粟島1-23,,37.748438,139.180569,,0250-43-3314 ,,152188,新潟県,五泉市,,1,,,,1,,,1,4248,,,想定収容人数は新潟県立五泉高等学校全体の収容人数
2001100061,新潟県立村松高等学校グラウンド,ニイガタケンリツムラマツコウトウガッコウグラウンド,新潟県五泉市村松甲5545,,37.687680,139.182229,,0250-58-6003 ,,152188,新潟県,五泉市,1,1,,1,,1,,,1,2789,,,想定収容人数は新潟県立村松高等学校全体の収容人数
2001100062,新潟県立村松高等学校校舎（普通教室棟）,ニイガタケンリツムラマツコウトウガッコウコウシャ（フツウキョウシツトウ）,新潟県五泉市村松甲5545,,37.687680,139.182229,,0250-58-6003 ,,152188,新潟県,五泉市,1,1,,1,,1,,,1,2789,,,想定収容人数は新潟県立村松高等学校全体の収容人数
2001100063,新潟県立村松高等学校柔剣道場,ニイガタケンリツムラマツコウトウガッコウジュウケンドウジョウ,新潟県五泉市村松甲5545,,37.687680,139.182229,,0250-58-6003 ,,152188,新潟県,五泉市,1,1,,,,1,,,1,2789,,,想定収容人数は新潟県立村松高等学校全体の収容人数
2001100064,新潟県立村松高等学校小体育館,ニイガタケンリツムラマツコウトウガッコウショウタイイクカン,新潟県五泉市村松甲5545,,37.687680,139.182229,,0250-58-6003 ,,152188,新潟県,五泉市,1,1,,,,1,,,1,2789,,,想定収容人数は新潟県立村松高等学校全体の収容人数
2001100065,新潟県立村松高等学校大体育館　,ニイガタケンリツムラマツコウトウガッコウダイタイイクカン,新潟県五泉市村松甲5545,,37.687680,139.182229,,0250-58-6003 ,,152188,新潟県,五泉市,1,1,,1,,1,,,1,2789,,,想定収容人数は新潟県立村松高等学校全体の収容人数
2001100066,西公園,ニシコウエン,新潟県五泉市土深64,,37.740879,139.158031,,0250-43-3911 ,,152188,新潟県,五泉市,,1,,1,,1,,,,,,,
2001100067,日枝公園,ヒエコウエン,新潟県五泉市村松甲5976,,37.686219,139.176875,,0250-43-3911 ,,152188,新潟県,五泉市,1,1,,1,,1,,,,,,,
2001100068,ひまわりこども園,ヒマワリコドモエン,新潟県五泉市荻曽根187-1,,37.739219,139.165586,,0250-42-3234,,152188,新潟県,五泉市,1,1,,1,,1,,,1,242,,,
2001100069,蛭野農村公園,ヒルノノウソンコウエン,新潟県五泉市蛭野387,,37.653153,139.185498,,0250-43-3911 ,,152188,新潟県,五泉市,1,1,,1,,1,,,,,,,
2001100070,馬下集落開発センター,マオロシシュウラクカイハツセンター,新潟県五泉市馬下1612,,37.737957,139.263607,,0250-47-2862,,152188,新潟県,五泉市,1,,,1,,1,,,1,104,,,
2001100071,町屋公園,マチヤコウエン,新潟県五泉市町屋甲866-3,,37.725316,139.157498,,0250-43-3911 ,,152188,新潟県,五泉市,,1,,1,,1,,,,,,,
2001100072,南公園,ミナミコウエン,新潟県五泉市五泉2438,,37.728487,139.179546,,0250-43-3911 ,,152188,新潟県,五泉市,1,1,,1,,1,,,,,,,
2001100073,南田中農村公園,ミナミタナカノウソンコウエン,新潟県五泉市南田中甲257,,37.676952,139.149478,,0250-43-3911 ,,152188,新潟県,五泉市,,1,,1,,1,,,,,,,
2001100074,村松公園,ムラマツコウエン,新潟県五泉市愛宕甲2631-1,,37.692687,139.188174,,0250-43-3911 ,,152188,新潟県,五泉市,1,,,1,,1,,,,,,,
2001100075,村松さくらこども園,ムラマツサクラコドモエン,新潟県五泉市村松甲6288,,37.683926,139.175643,,0250-58-2401,,152188,新潟県,五泉市,1,1,,1,,1,,,1,98,,,
2001100076,村松西公園,ムラマツニシコウエン,新潟県五泉市村松乙33-1,,37.691645,139.169275,,0250-43-3911 ,,152188,新潟県,五泉市,,1,,1,,1,,,,,,,
2001100077,村松東児童遊園,ムラマツヒガシジドウユウエン,新潟県五泉市石曽根7943-4,,37.697561,139.185578,,0250-43-3911 ,,152188,新潟県,五泉市,1,1,,1,,1,,,,,,,
2001100078,矢津農村公園,ヤヅノウソンコウエン,新潟県五泉市矢津701,,37.689338,139.204669,,0250-43-3911 ,,152188,新潟県,五泉市,,1,,1,,1,,,,,,,
