都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,イベント名,イベント名_カナ,イベント名_英語,開始日,終了日,開始時間,終了時間,開始日時特記事項,説明,料金(基本),料金(詳細),連絡先名称,連絡先電話番号,連絡先内線番号,主催者,場所名称,住所,方書,緯度,経度,アクセス方法,駐車場情報,定員,参加申込終了日,参加申込終了時間,参加申込方法,URL,備考
152188,3000700020,新潟県,五泉市,五泉ニット販売感謝フェア,ゴセンニットハンバイカンシャフェアー,,2022-02-01,2022-02-20,10:00,16:00,2月上旬～中旬開催,2月10日（ニットの日）を中心に開催。日頃の感謝を込めて「五泉ニット」を特別価格で提供します。大盛況の人気イベントです。,,,,,,,ガーデンホテル　マリエール,五泉市赤海1074-1,,,,,,,,,,,商工観光課
152188,3000700021,新潟県,五泉市,GOSEN KNIT FES(五泉ニットフェス）,ゴセンニットフェス,,2021-11-20,2021-11-21,10:00,17:00,,恒例のニットフェスを「2月10日（ニットの日）」から「11月20日（いいニットの日）」の頃に時期をずらして開催します。工場見学をはじめ、さまざまな企画で地域が一体となって盛り上がるイベントです。,,,,,,,市内各工場など,市内各工場,,,,,,,,,,,商工観光課
152188,3000700022,新潟県,五泉市,五泉ひゃんで花火大会,ゴセンヒャンデハナビタイカイ,,2021-07-21,2021-08-20,19:30,21:00,開催未定　　　　　　　　　　　７月下旬～８月中旬に開催,五泉に元気と活気を、そして賑わいあるまちになるようにと開催される花火大会です。,,,,,,,早出川河川敷,一本杉地内,,,,,,,,,,,商工観光課
152188,3000700023,新潟県,五泉市,咲花温泉水中花火大会,サキハナオンセンスイチュウハナビタイカイ,,2021-06-11,2021-06-11,20:20,21:00,,約200発の水中花火が水面に花を咲かせ幻想的です。,,,,,,,咲花温泉,五泉市佐取地内,,,,,,,,,,,商工観光課
152188,3000700024,新潟県,五泉市,咲花ふれあいウォーク,サキハナフレアイウォーク,,2021-06-27,2021-06-27,,,,　コースは、川東～咲花方面を予定しています。,,,"五泉市教育委員会
スポーツ推進課",(0250)42-5194,502,五泉市・五泉市教育委員会,五泉市立川東小学校　他,新潟県五泉市中川新2431　他,,37.729266,139.228554,"JR磐越西線猿和田駅から徒歩10分
JR磐越西線猿和田駅から車で3分",有り,30,,,申込用紙提出,,スポーツ推進課
152188,3000700025,新潟県,五泉市,さくらんど吹奏楽の夕べ,サクランドスイソウガクノユウベ,Evening of the Wind Music in Sakurando hall,,,,,新型コロナウイルス感染症対策のため、日時会場等変更する場合があります。,自衛隊音楽隊による生演奏をさくらんど会館開設当初から毎年1回実施。,0,,五泉市教育委員会生涯学習課村松事務所,0250-58-5082,680,五泉市教育委員会,五泉市さくらんど会館　イベントホール,新潟県五泉市村松乙118-2,,37.692416,139.173651,"磐越自動車道安田ICから車で20分
JR磐越西線五泉駅から車で15分
ふれあいバス村松支所下車　徒歩すぐ
五泉市役所からシャトルバスを運行予定",専用約30台、近隣施設約250台,未定,,,,,生涯学習課村松事務所
152188,3000700026,新潟県,五泉市,市民音楽祭,シミンオンガクサイ,Civic Music Festival,,,,,新型コロナウイルス感染症対策のため、日時会場等変更する場合があります。,市民に音楽芸術の発表と鑑賞の機会を提供し音楽活動の普及振興を図る。,未定,"1団体参加費（金額未定）
来場者の入場料は無料",五泉市教育委員会生涯学習課,0250-42-5195,532,五泉市教育委員会,五泉市交流拠点複合施設（ラポルテ五泉）【予定】,新潟県五泉市赤海863,,37.74413,139.19278,"磐越自動車道安田ICから車で6分
JR磐越西線五泉駅から車で6分",普通自動車186台,,,,参加希望団体は申込書に記入の上、事務局に提出,,生涯学習課
152188,3000700027,新潟県,五泉市,市民芸能祭,シミンゲイノウサイ,Civic Entertainment Festival,,,,,新型コロナウイルス感染症対策のため、日時会場等変更する場合があります。,伝統芸能から創作ダンスなど市内で活動するさまざまな団体が日頃の成果を発表。,未定,"1団体参加費（金額未定）
来場者の入場料は無料",五泉市教育委員会生涯学習課,0250-42-5195,532,五泉市教育委員会,五泉市交流拠点複合施設（ラポルテ五泉）【予定】,新潟県五泉市赤海863,,37.74413,139.19278,"磐越自動車道安田ICから車で6分
JR磐越西線五泉駅から車で6分",普通自動車186台,,,,参加希望団体は申込書に記入の上、事務局に提出,,生涯学習課
152188,3000700028,新潟県,五泉市,芍薬ふれあいウォーク,シャクヤクフレアイウォーク,,2021-05-23,2021-05-23,09:20,12:00,,"　総合会館を出発し、しゃくやくロードや東公園を巡る約4.8㎞のコースです。東公園のしゃくやく園では、40品種2,000株以上の芍薬を見学することができます。","200
",一般200円、中学生以下100円、幼児無料,"五泉市教育委員会
スポーツ推進課",(0250)42-5194,502,五泉市・五泉市教育委員会,五泉市総合会館　他,新潟県五泉市旭町7-11　他,,37.747149,139.180616,"磐越自動車道安田ICから車で15分
JR磐越西線北五泉駅から徒歩15分
JR磐越西線五泉駅から徒歩20分
JR磐越西線五泉駅から車で5分",有り,30,2021-05-17,17:15,申込用紙提出,,スポーツ推進課
152188,3000700029,新潟県,五泉市,生涯学習フェスティバル,ショウガイガクシュウフェスティバル,Lifelong Learning Festival,,,,,新型コロナウイルス感染症対策のため、日時会場等変更する場合があります。,生涯学習を目的に活動しながら、もっと自分たちの活動をアピールしたい団体や仲間を増やしたいと願う団体が集い活動成果を発表。展示発表だけでなく、踊りや楽器演奏などの発表、成果物の販売も実施。,未定,"1団体参加費（金額未定）（代表者会議で徴収）
販売を行った団体は売り上げの５％を当日徴収
来場者の入場料は無料",五泉市教育委員会生涯学習課,0250-42-5195,532,"生涯学習フェスティバル実行委員会
五泉市教育委員会",五泉市交流拠点複合施設（ラポルテ五泉）【予定】,新潟県五泉市赤海863,,37.74413,139.19278,"磐越自動車道安田ICから車で6分
JR磐越西線五泉駅から車で6分",普通自動車186台,,,,参加希望団体は申込書に記入の上、事務局に提出,,生涯学習課
152188,3000700030,新潟県,五泉市,城下町村松のぼり旗祭り,ジョウカマチムラマツノボリバタマツリ,,,,,,新型コロナウイルス感染拡大防止の為中止 ,城下町村松の伝統行事「のぼり旗」が掲げられます。,,,,,,,村松商店街,五泉市村松甲地内,,,,,,,,,,,商工観光課
152188,3000700031,新潟県,五泉市,第55回新年歩こう会,シンネンアルコウカイ,,2022-01-01,2022-01-01,,,,　五泉八幡宮を参拝する約3㎞のコースです。「健康づくりは元旦から」をキャッチフレーズに、1年の健康を願った歩き初めです。,,,"五泉市教育委員会
スポーツ推進課",(0250)42-5194,502,五泉市・五泉市教育委員会,五泉市総合会館　他,新潟県五泉市旭町7-11　他,,37.747149,139.180616,"磐越自動車道安田ICから車で15分
JR磐越西線北五泉駅から徒歩15分
JR磐越西線五泉駅から徒歩20分
JR磐越西線五泉駅から車で5分",有り,30,,,申込用紙提出,,スポーツ推進課
152188,3000700032,新潟県,五泉市,菅名岳寒九の水汲み,スガナダケカンクノミズクミ,,2022-01-11,2022-01-20,08:30,13:30,例年は１月中旬開催　　　　　　　　　　　　　　　寒の入から9日目に開催,寒九の日（寒の入りから9日目）に、菅名岳の中腹にある「胴腹（どっぱら）清水」を汲み、お酒を造ります。,,,,,,,菅名岳,五泉市小山田地内,,,,,,,,,,,商工観光課
152188,3000700033,新潟県,五泉市,菅名岳山開き,スガナダケヤマビラキ,,2021-04-25,2021-04-25,08:00,09:00,,小山田駐車場で山開きを行います。,,,,,,,菅名岳,五泉市小山田地内,,,,,,,,,,,商工観光課
152188,3000700034,新潟県,五泉市,住吉神社例祭,スミヨシジンジャレイサイ,,2020-07-28,2020-07-29,09:00,17:00,,村松藩祖を祀る。高砂人形が飾られ境内の池には船神輿が浮かべられます。,,,,,,,住吉神社（寺町）,五泉市村松甲5959,,,,,,,,,,,商工観光課
152188,3000700035,新潟県,五泉市,令和2年度　成人式,レイワ２ネンド　セイジンシキ,Reiwa 2nd year Coming of age Ceremony,2021-05-01,2021-05-01,11:00,16:00,出身中学校別に11時から12時30分と14時30分から16時の2回に分散して開催。新型コロナウイルス感染症対策のため、日時会場等変更する場合があります。,成人を迎える若者をお祝いし激励する式典。令和2年度中の開催予定をコロナ禍のため延期。,0,,五泉市教育委員会生涯学習課,0250-42-5195,508,五泉市,五泉市さくらんど会館　イベントホール,新潟県五泉市村松乙118-2,,37.692416,139.173651,"磐越自動車道安田ICから車で20分
JR磐越西線五泉駅から車で15分
ふれあいバス村松支所下車　徒歩すぐ",専用約30台、近隣施設約250台,,,,,https://www.city.gosen.lg.jp/organization/21/5/5782.html,生涯学習課
152188,3000700036,新潟県,五泉市,令和3年度　成人式,レイワ3ネンド　セイジンシキ,Reiwa 3rd year Coming of age Ceremony,2022-01-09,2022-01-09,13:00,15:00,新型コロナウイルス感染症対策のため、日時会場等変更する場合があります。,成人を迎える若者をお祝いし激励する式典。,0,,五泉市教育委員会生涯学習課,0250-42-5195,508,五泉市,五泉市さくらんど会館　イベントホール,新潟県五泉市村松乙118-2,,37.692416,139.173651,"磐越自動車道安田ICから車で20分
JR磐越西線五泉駅から車で15分
ふれあいバス村松支所下車　徒歩すぐ",専用約30台、近隣施設約250台,,,,,https://www.city.gosen.lg.jp/organization/21/5/5782.html,生涯学習課
152188,3000700037,新潟県,五泉市,第56回五泉市元旦マラソン大会,"ダイゴジュウロッカイゴ
センシガンタンマラソンタイカイ",,2022-01-01,2022-01-01,,,,"　新年を祝賀するとともに、運動の基本である「走る」ことを通じて新しい年のスポーツ活動のスタートとすることを目的とします。
　コースは、総合会館周辺で2.1㎞、3㎞、6㎞を予定しています。",,,"五泉市教育委員会
スポーツ推進課",(0250)42-5194,502,五泉市・五泉市教育委員会,五泉市総合会館周辺,新潟県五泉市旭町7-11　周辺,,37.747149,139.180616,"磐越自動車道安田ICから車で15分
JR磐越西線北五泉駅から徒歩15分
JR磐越西線五泉駅から徒歩20分
JR磐越西線五泉駅から車で5分",有り,,,,申込用紙提出,,スポーツ推進課
152188,3000700038,新潟県,五泉市,"第32回五泉市スポーツレクリエーション大会
器械体操体験教室",ダイサンジュウニカイゴセンシスポーツレクリエーションタイカイ　キカイタイソウタイケンキョウシツ,,2021-09-26,2021-09-26,,,,　市民の誰もが気軽にスポーツやレクリエーション活動に親しみ、交流を深め、スポーツ精神を高揚し、健康維持と体力増進及び元気に心豊かで生きがいのある市民生活の実現を目指します。,,,五泉市スポーツ協会,(0250)58-6373,,五泉市・五泉市教育委員会,五泉市村松体育館,新潟県五泉市石曽根8074-1,,37.696888,139.190039,"磐越自動車道安田ICから車で25分
JR磐越西線五泉駅から車で25分",有り,,,,スポーツ協会へお問い合わせ下さい,,スポーツ推進課
152188,3000700039,新潟県,五泉市,"第32回五泉市スポーツレクリエーション大会
ゲートボール大会",ダイサンジュウニカイゴセンシスポーツレクリエーションタイカイ　ゲートボールタイカイ,,2021-10-17,2021-10-17,,,,　市民の誰もが気軽にスポーツやレクリエーション活動に親しみ、交流を深め、スポーツ精神を高揚し、健康維持と体力増進及び元気に心豊かで生きがいのある市民生活の実現を目指します。,,,五泉市スポーツ協会,(0250)58-6373,,五泉市・五泉市教育委員会,五泉市五箇スポーツ会館,新潟県五泉市笹野町甲2117-2,,37.698927,139.151547,"磐越自動車道安田ICから車で23分
JR磐越西線五泉駅から車で15分",有り,,,,スポーツ協会へお問い合わせ下さい,,スポーツ推進課
152188,3000700040,新潟県,五泉市,"第32回五泉市スポーツレクリエーション大会
剣道大会",ダイサンジュウニカイゴセンシスポーツレクリエーションタイカイ　ケンドウタイカイ,,2021-09-19,2021-09-19,,,,　市民の誰もが気軽にスポーツやレクリエーション活動に親しみ、交流を深め、スポーツ精神を高揚し、健康維持と体力増進及び元気に心豊かで生きがいのある市民生活の実現を目指します。,,,五泉市スポーツ協会,(0250)58-6373,,五泉市・五泉市教育委員会,五泉市村松体育館,新潟県五泉市石曽根8074-1,,37.696888,139.190039,"磐越自動車道安田ICから車で25分
JR磐越西線五泉駅から車で25分",有り,,,,スポーツ協会へお問い合わせ下さい,,スポーツ推進課
152188,3000700041,新潟県,五泉市,"第32回五泉市スポーツレクリエーション大会
スキー大会",ダイサンジュウニカイゴセンシスポーツレクリエーションタイカイ　スキータイカイ,,,,,,,　市民の誰もが気軽にスポーツやレクリエーション活動に親しみ、交流を深め、スポーツ精神を高揚し、健康維持と体力増進及び元気に心豊かで生きがいのある市民生活の実現を目指します。,,リフト代のみ参加者負担,五泉市スポーツ協会,(0250)58-6373,,五泉市・五泉市教育委員会,,,,,,,,,,,スポーツ協会へお問い合わせ下さい,,スポーツ推進課
152188,3000700042,新潟県,五泉市,"第32回五泉市スポーツレクリエーション大会
スポーツチャンバラ大会",ダイサンジュウニカイゴセンシスポーツレクリエーションタイカイ　スポーツチャンバラタイカイ,,2021-10-10,2021-10-10,,,,　市民の誰もが気軽にスポーツやレクリエーション活動に親しみ、交流を深め、スポーツ精神を高揚し、健康維持と体力増進及び元気に心豊かで生きがいのある市民生活の実現を目指します。,,,五泉市スポーツ協会,(0250)58-6373,,五泉市・五泉市教育委員会,五泉市総合会館（各技場）,新潟県五泉市旭町7-11,,37.747149,139.180616,"磐越自動車道安田ICから車で15分
JR磐越西線北五泉駅から徒歩15分
JR磐越西線五泉駅から徒歩20分
JR磐越西線五泉駅から車で5分",有り,,,,スポーツ協会へお問い合わせ下さい,,スポーツ推進課
152188,3000700043,新潟県,五泉市,"第32回五泉市スポーツレクリエーション大会
ソフトテニス大会",ダイサンジュウニカイゴセンシスポーツレクリエーションタイカイ　ソフトテニスタイカイ,,2021-09-26,2021-09-26,,,,　市民の誰もが気軽にスポーツやレクリエーション活動に親しみ、交流を深め、スポーツ精神を高揚し、健康維持と体力増進及び元気に心豊かで生きがいのある市民生活の実現を目指します。,,,五泉市スポーツ協会,(0250)58-6373,,五泉市・五泉市教育委員会,五泉市総合会館（大ホール）,新潟県五泉市旭町7-11,,37.747149,139.180616,"磐越自動車道安田ICから車で15分
JR磐越西線北五泉駅から徒歩15分
JR磐越西線五泉駅から徒歩20分
JR磐越西線五泉駅から車で5分",有り,,,,スポーツ協会へお問い合わせ下さい,,スポーツ推進課
152188,3000700044,新潟県,五泉市,"第32回五泉市スポーツレクリエーション大会
ソフトバレーボール大会",ダイサンジュウニカイゴセンシスポーツレクリエーションタイカイ　ソフトバレーボールタイカイ,,2021-09-20,2021-09-20,,,,　市民の誰もが気軽にスポーツやレクリエーション活動に親しみ、交流を深め、スポーツ精神を高揚し、健康維持と体力増進及び元気に心豊かで生きがいのある市民生活の実現を目指します。,,,五泉市スポーツ協会,(0250)58-6373,,五泉市・五泉市教育委員会,五泉市総合会館（大ホール）,新潟県五泉市旭町7-11,,37.747149,139.180616,"磐越自動車道安田ICから車で15分
JR磐越西線北五泉駅から徒歩15分
JR磐越西線五泉駅から徒歩20分
JR磐越西線五泉駅から車で5分",有り,,,,スポーツ協会へお問い合わせ下さい,,スポーツ推進課
152188,3000700045,新潟県,五泉市,"第32回五泉市スポーツレクリエーション大会
テニス大会",ダイサンジュウニカイゴセンシスポーツレクリエーションタイカイ　テニスタイカイ,,2021-10-10,2021-10-10,,,,　市民の誰もが気軽にスポーツやレクリエーション活動に親しみ、交流を深め、スポーツ精神を高揚し、健康維持と体力増進及び元気に心豊かで生きがいのある市民生活の実現を目指します。,,,五泉市スポーツ協会,(0250)58-6373,,五泉市・五泉市教育委員会,粟島公園テニスコート,新潟県五泉市粟島4866,,37.746438,139.179202,"磐越自動車道安田ICから車で15分
JR磐越西線北五泉駅から徒歩15分
JR磐越西線五泉駅から徒歩20分
JR磐越西線五泉駅から車で5分",有り,,,,スポーツ協会へお問い合わせ下さい,,スポーツ推進課
152188,3000700046,新潟県,五泉市,"第32回五泉市スポーツレクリエーション大会
軟式野球大会",ダイサンジュウニカイゴセンシスポーツレクリエーションタイカイ　ナンシキヤキュウタイカイ,,2021-10-10,2021-10-10,,,,　市民の誰もが気軽にスポーツやレクリエーション活動に親しみ、交流を深め、スポーツ精神を高揚し、健康維持と体力増進及び元気に心豊かで生きがいのある市民生活の実現を目指します。,,,五泉市スポーツ協会,(0250)58-6373,,五泉市・五泉市教育委員会,五泉市市営野球場,新潟県五泉市丸田580-1,,37.745752,139.147187,"磐越自動車道安田ICから車で18分
JR磐越西線五泉駅から車で10分",有り,,,,スポーツ協会へお問い合わせ下さい,,スポーツ推進課
152188,3000700047,新潟県,五泉市,"第32回五泉市スポーツレクリエーション大会
バスケットボール大会",ダイサンジュウニカイゴセンシスポーツレクリエーションタイカイ　バスケットボールタイカイ,,2021-09-19,2021-09-19,,,,　市民の誰もが気軽にスポーツやレクリエーション活動に親しみ、交流を深め、スポーツ精神を高揚し、健康維持と体力増進及び元気に心豊かで生きがいのある市民生活の実現を目指します。,,,五泉市スポーツ協会,(0250)58-6373,,五泉市・五泉市教育委員会,五泉市総合会館（大ホール）,新潟県五泉市旭町7-11,,37.747149,139.180616,"磐越自動車道安田ICから車で15分
JR磐越西線北五泉駅から徒歩15分
JR磐越西線五泉駅から徒歩20分
JR磐越西線五泉駅から車で5分",有り,,,,スポーツ協会へお問い合わせ下さい,,スポーツ推進課
152188,3000700048,新潟県,五泉市,"第32回五泉市スポーツレクリエーション大会
バドミントン大会",ダイサンジュウニカイゴセンシスポーツレクリエーションタイカイ　バドミントンタイカイ,,2021-09-12,2021-09-12,,,,　市民の誰もが気軽にスポーツやレクリエーション活動に親しみ、交流を深め、スポーツ精神を高揚し、健康維持と体力増進及び元気に心豊かで生きがいのある市民生活の実現を目指します。,,,五泉市スポーツ協会,(0250)58-6373,,五泉市・五泉市教育委員会,五泉市総合会館（大ホール）,新潟県五泉市旭町7-11,,37.747149,139.180616,"磐越自動車道安田ICから車で15分
JR磐越西線北五泉駅から徒歩15分
JR磐越西線五泉駅から徒歩20分
JR磐越西線五泉駅から車で5分",有り,,,,スポーツ協会へお問い合わせ下さい,,スポーツ推進課
152188,3000700049,新潟県,五泉市,"第32回五泉市スポーツレクリエーション大会
バレーボール大会",ダイサンジュウニカイゴセンシスポーツレクリエーションタイカイ　バレーボールタイカイ,,2021-10-03,2021-10-03,,,,　市民の誰もが気軽にスポーツやレクリエーション活動に親しみ、交流を深め、スポーツ精神を高揚し、健康維持と体力増進及び元気に心豊かで生きがいのある市民生活の実現を目指します。,,,五泉市スポーツ協会,(0250)58-6373,,五泉市・五泉市教育委員会,五泉市総合会館（大ホール）,新潟県五泉市旭町7-11,,37.747149,139.180616,"磐越自動車道安田ICから車で15分
JR磐越西線北五泉駅から徒歩15分
JR磐越西線五泉駅から徒歩20分
JR磐越西線五泉駅から車で5分",有り,,,,スポーツ協会へお問い合わせ下さい,,スポーツ推進課
152188,3000700050,新潟県,五泉市,"第32回五泉市スポーツレクリエーション大会
パワーリフティング大会",ダイサンジュウニカイゴセンシスポーツレクリエーションタイカイ　パワーリフティングタイカイ,,2021-10-03,2021-10-03,,,,　市民の誰もが気軽にスポーツやレクリエーション活動に親しみ、交流を深め、スポーツ精神を高揚し、健康維持と体力増進及び元気に心豊かで生きがいのある市民生活の実現を目指します。,,,五泉市スポーツ協会,(0250)58-6373,,五泉市・五泉市教育委員会,五泉市総合会館（トレーニング室）,新潟県五泉市旭町7-11,,37.747149,139.180616,"磐越自動車道安田ICから車で15分
JR磐越西線北五泉駅から徒歩15分
JR磐越西線五泉駅から徒歩20分
JR磐越西線五泉駅から車で5分",有り,,,,スポーツ協会へお問い合わせ下さい,,スポーツ推進課
