都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,介護サービス事業所名称,介護サービス事業所名称_カナ,実施サービス,住所,方書,緯度,経度,電話番号,内線番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,備考
152188,3000300047,新潟県,五泉市,デイサービスセンター春日和船越,デイサービスセンターハルビヨリフナコシ,通所介護（デイサービス）,新潟県五泉市船越973-48,,,,0250-58-9515,,0250-58-9516,,株式会社ワールドステイ,1571700655,月火水木金土日,,25,,
152188,3000300048,新潟県,五泉市,デイサービスひまわり,デイサービスセンターヒマワリ,通所介護（デイサービス）,新潟県五泉市南本町3-948-1,,,,0250-41-0303,,0250-41-0330,8.11E+12,医療法人社団五十嵐整形外科,1571700275,月火水木金土,,40,,
152188,3000300049,新潟県,五泉市,デイサービスセンター萬葉苑,デイサービスセンターマンヨウエン,通所介護（デイサービス）,新潟県五泉市村松1352,,,,0250-58-7160,,0250-58-7599,,社会福祉法人白山会,1571700416,月火水木金土・祝,,47,,
152188,3000300050,新潟県,五泉市,デイサービスひなたぼっこ,デイサービスヒナタボッコ,通所介護（デイサービス）,新潟県五泉市村松203-1,,,,0250-41-5233,,0250-58-5143,3.11E+12,社会福祉法人茨塚福祉会,1571700432,月火水木金土日・祝,,30,,
152188,3000300051,新潟県,五泉市,特別養護老人ホーム愛松園,トクベツヨウゴロウジンホームアイショウエン,介護老人福祉施設（特別養護老人ホーム）,新潟県五泉市番坂新174-2,,,,0250-58-5725,,0250-58-5726,,さくら福祉保健事務組合,1571700473,,,100,,
152188,3000300052,新潟県,五泉市,特別養護老人ホームうずらはし,トクベツヨウゴロウジンホームウズラハシ,短期入所生活介護（ショートステイ）,新潟県五泉市橋田丙497-2,,,,0250-48-5577,,0250-48-5576,6.11E+12,社会福祉法人中東福祉会,1571700812,,,,,
152188,3000300053,新潟県,五泉市,特別養護老人ホームうずらはし,トクベツヨウゴロウジンホームウズラハシ,介護老人福祉施設（特別養護老人ホーム）,新潟県五泉市橋田丙497-2,,,,0250-48-5577,,0250-48-5576,6.11E+12,社会福祉法人中東福祉会,1571700804,,,60,,
152188,3000300054,新潟県,五泉市,特別養護老人ホーム帛の郷,トクベツヨウゴロウジンホームキヌノサト,介護老人福祉施設（特別養護老人ホーム）,新潟県五泉市本町6-7-7,,,,0250-47-4300,,0250-43-3370,6.11E+12,社会福祉法人中東福祉会,1591700131,,,29,,
152188,3000300055,新潟県,五泉市,特別養護老人ホーム山王苑,トクベツヨウゴロウジンホームサンノウエン,短期入所生活介護（ショートステイ）,新潟県五泉市村松203-1,,,,0250-58-8989,,0250-58-4791,3.11E+12,社会福祉法人茨塚福祉会,1571700457,,,10,,
152188,3000300056,新潟県,五泉市,特別養護老人ホーム山王苑,トクベツヨウゴロウジンホームサンノウエン,介護老人福祉施設（特別養護老人ホーム）,新潟県五泉市村松203-1,,,,0250-58-8989,,0250-58-4791,3.11E+12,社会福祉法人茨塚福祉会,1571700481,,,60,,
152188,3000300057,新潟県,五泉市,特別養護老人ホーム菅名の里,トクベツヨウゴロウジンホームスガナノサト,介護老人福祉施設（特別養護老人ホーム）,新潟県五泉市馬下1814-19,,,,0250-47-1080,,0250-47-1082,6.11E+12,社会福祉法人中東福祉会,1571700077,,,80,,
152188,3000300058,新潟県,五泉市,特別養護老人ホームすもとの里,トクベツヨウゴロウジンホームスモトノサト,介護老人福祉施設（特別養護老人ホーム）,新潟県五泉市論瀬5975-12,,,,0250-43-5307,,0250-43-5108,5.11E+12,社会福祉法人ごせん福祉会,1571700085,,,100,,
152188,3000300059,新潟県,五泉市,特別養護老人ホーム第二山王苑あけぼの,トクベツヨウゴロウジンホームダイニサンノウエンアケボノ,介護老人福祉施設（特別養護老人ホーム）,新潟県五泉市村松98-1,,,,0250-41-5650,,0250-41-5651,3.11E+12,社会福祉法人茨塚福祉会,1591700065,,,29,,
152188,3000300060,新潟県,五泉市,特別養護老人ホームまおろしの郷,トクベツヨウゴロウジンホームマオロシノサト,介護老人福祉施設（特別養護老人ホーム）,新潟県五泉市馬下1429,,,,0250-47-1070,,0250-47-1072,6.11E+12,社会福祉法人中東福祉会,1591700073,,,42,,
152188,3000300061,新潟県,五泉市,特別養護老人ホームみどりの園,トクベツヨウゴロウジンホームミドリノソノ,介護老人福祉施設（特別養護老人ホーム）,新潟県五泉市村松甲5551-1,,,,0250-47-5700,,0250-47-5711,1.11E+12,社会福祉法人みどり心育会,1591700164,,,29,,
152188,3000300062,新潟県,五泉市,特別養護老人ホーム結の里,トクベツヨウゴロウジンホームユイノサト,介護老人福祉施設（特別養護老人ホーム）,新潟県五泉市五十嵐新田855-1,,,,0250-42-6000,,0250-42-0500,,社会福祉法人厚志会,1591700115,,,29,,
152188,3000300063,新潟県,五泉市,新潟みらい農業協同組合五泉訪問介護センター,ニイガタミライノウギョウキョウドウクミアイゴセンホウモンカイゴセンター,訪問介護（グループヘルプ）,新潟県五泉市旭町7-8,,,,0250-43-5856,,0250-43-3048,3.11E+12,新潟みらい農業協同組合,1571700523,月火水木金,,,,
152188,3000300064,新潟県,五泉市,ニチイケアセンター五泉,ニチイケアセンターゴセン,訪問介護（グループヘルプ）,新潟県五泉市吉沢1-6-20,,,,0250-58-9456,,0250-42-6840,3.01E+12,株式会社ニチイ学館,1571700267,月火水木金土日・祝,,,,
152188,3000300065,新潟県,五泉市,ニチイケアセンター村松,ニチイケアセンタームラマツ,訪問介護（グループヘルプ）,新潟県五泉市村松甲2958-3,,,,0250-58-0021,,0250-58-7055,3.01E+12,株式会社ニチイ学館,1571700671,月火水木金土日・祝,,,,
152188,3000300066,新潟県,五泉市,はあとふるあたごグループホーム五泉,ハアトフルアタゴグループホームゴセン,認知症対応型共同生活介護（グループホーム）,新潟県五泉市太田2-1-3,,,,0250-41-1610,,0250-41-1611,3.11E+12,株式会社はあとふるあたご,1571700259,,,18,,
152188,3000300067,新潟県,五泉市,HALUリハビリデイ,ハルリハビリデイ,通所介護（デイサービス）,新潟県五泉市五十嵐新田846-1,,,,0250-47-8829,,0250-47-8829,6.11E+12,グランシェア株式会社,1591700206,月火水木金土,,10,,
152188,3000300068,新潟県,五泉市,まごころデイサービスセンターおぎぞね,マゴコロデイサービスセンターオギゾネ,通所介護（デイサービス）,新潟県五泉市荻曽根227,,,,0250-25-7253,,0250-25-7254,8.11E+12,株式会社まごころネット,1571700697,月火水木金土日・祝,,15,,
152188,3000300069,新潟県,五泉市,街なかデイサービスたからばこ,マチナカデイサービスタカラバコ,通所介護（デイサービス）,新潟県五泉市村松甲2197-1,,,,0250-47-7826,,0250-47-7827,,株式会社　縁,1571700838,月火水木金土日・祝,,30,,
152188,3000300070,新潟県,五泉市,みどり多機能ホーム,ミドリタキノウホーム,小規模多機能型居宅介護,新潟県五泉市村松甲5592-1,,,,0250-58-6400,,0250-58-649,1.11E+12,社会福祉法人みどり心育会,1591700156,,,29,,
152188,3000300071,新潟県,五泉市,宮の森デイサービスセンター,ミヤノモリサービスセンター,通所介護（デイサービス）,新潟県五泉市本町4-3-12,,,,0250-47-8772,,0250-47-8772,6.11E+12,グランシェア株式会社,1571700762,月火水木金土日,,10,,
152188,3000300072,新潟県,五泉市,老人保健施設愛宕の里,ロウジンホケンシセツアタゴノサト,通所リハビリ;短期入所療養介護;介護老人保健施設（老健）,新潟県五泉市村松1409-1,,,,0250-58-6891,,0250-58-6893,2.11E+12,医療法人社団真仁会,1551780008,月火水木金,,90（通所リハビリ10）,,
